#,Name,Icon Image,Critterpedia Image,Furniture Image,Sell,Where/How,Shadow,Total Catches to Unlock,Rain/Snow Catch Up,NH Jan,NH Feb,NH Mar,NH Apr,NH May,NH Jun,NH Jul,NH Aug,NH Sep,NH Oct,NH Nov,NH Dec,SH Jan,SH Feb,SH Mar,SH Apr,SH May,SH Jun,SH Jul,SH Aug,SH Sep,SH Oct,SH Nov,SH Dec,Color 1,Color 2,Size,Lighting Type,Icon Filename,Critterpedia Filename,Furniture Filename,Internal ID,Unique Entry ID
56,anchovy,https://acnhcdn.com/latest/MenuIcon/Fish81.png,https://acnhcdn.com/latest/BookFishIcon/FishAntyobiCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrFishAntyobi.png,200,Sea,Small,0,No,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,Blue,Red,1x1,No lighting,Fish81,FishAntyobi,FtrFishAntyobi,4201,LzuWkSQP55uEpRCP5
64,moray eel,https://acnhcdn.com/latest/MenuIcon/Fish55.png,https://acnhcdn.com/latest/BookFishIcon/FishUtsuboCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrFishUtsubo.png,2000,Sea,Long,20,No,NA,NA,NA,NA,NA,NA,NA,All day,All day,All day,NA,NA,NA,All day,All day,All day,NA,NA,NA,NA,NA,NA,NA,NA,Brown,Black,2x1,Fluorescent,Fish55,FishUtsubo,FtrFishUtsubo,2271,4nLynLTMRtoqcCfh4
52,Napoleonfish,https://acnhcdn.com/latest/MenuIcon/Fish43.png,https://acnhcdn.com/latest/BookFishIcon/FishNaporeonfishCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrFishNaporeonfish.png,10000,Sea,XX-Large,50,Yes,NA,NA,NA,NA,NA,NA,4 AM – 9 PM,4 AM – 9 PM,NA,NA,NA,NA,4 AM – 9 PM,4 AM – 9 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Light blue,Black,2x1,Fluorescent,Fish43,FishNaporeonfish,FtrFishNaporeonfish,2260,dm4THC3AYR6CZ8bvJ
38,neon tetra,https://acnhcdn.com/latest/MenuIcon/Fish31.png,https://acnhcdn.com/latest/BookFishIcon/FishNeontetoraCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrFishNeontetora.png,500,River,X-Small,0,No,NA,NA,NA,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,NA,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,NA,NA,NA,NA,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,Light blue,Black,1x1,Fluorescent,Fish31,FishNeontetora,FtrFishNeontetora,2248,aEyRb96wcz9m8yjFN
35,nibble fish,https://acnhcdn.com/latest/MenuIcon/Fish67.png,https://acnhcdn.com/latest/BookFishIcon/FishDokutaafishCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrFishDoctor.png,1500,River,X-Small,20,No,NA,NA,NA,NA,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,NA,NA,NA,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,NA,NA,NA,NA,NA,NA,NA,9 AM – 4 PM,9 AM – 4 PM,Brown,Blue,1x1,No lighting,Fish67,FishDokutaafish,FtrFishDoctor,2246,pkPKYsMiXsTWNz4L4
78,oarfish,https://acnhcdn.com/latest/MenuIcon/Fish69.png,https://acnhcdn.com/latest/BookFishIcon/FishRyuuguunotukaiCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrFishRyugu.png,9000,Sea,XX-Large,50,Yes,All day,All day,All day,All day,All day,NA,NA,NA,NA,NA,NA,All day,NA,NA,NA,NA,NA,All day,All day,All day,All day,All day,All day,NA,Red,Blue,3x2,No lighting,Fish69,FishRyuuguunotukai,FtrFishRyugu,2283,qgvEPGk759xaBqwXP
70,ocean sunfish,https://acnhcdn.com/latest/MenuIcon/Fish60.png,https://acnhcdn.com/latest/BookFishIcon/FishManbouCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrFishManbou.png,4000,Sea,Large w/Fin,20,Yes,NA,NA,NA,NA,NA,NA,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,NA,NA,NA,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,Blue,Orange,2x2,No lighting,Fish60,FishManbou,FtrFishManbou,2278,6BwK6LHbjFAKzgE82
62,olive flounder,https://acnhcdn.com/latest/MenuIcon/Fish51.png,https://acnhcdn.com/latest/BookFishIcon/FishHirameCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrFishHirame.png,800,Sea,X-Large,0,No,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,Beige,Black,2x1,Fluorescent,Fish51,FishHirame,FtrFishHirame,2269,TXSteKMHuQ9ZfqPXm
2,pale chub,https://acnhcdn.com/latest/MenuIcon/Fish1.png,https://acnhcdn.com/latest/BookFishIcon/FishOikawaCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrFishOikawa.png,200,River,X-Small,0,No,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,Blue,Blue,1x1,No lighting,Fish1,FishOikawa,FtrFishOikawa,2216,pCn9TLap3rWiLYfnF
24,pike,https://acnhcdn.com/latest/MenuIcon/Fish20.png,https://acnhcdn.com/latest/BookFishIcon/FishPaikuCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrFishPaiku.png,1800,River,X-Large,20,No,NA,NA,NA,NA,NA,NA,NA,NA,All day,All day,All day,All day,NA,NA,All day,All day,All day,All day,NA,NA,NA,NA,NA,NA,Green,Black,2x1,Fluorescent,Fish20,FishPaiku,FtrFishPaiku,2235,XxrB6iKQPhBkYKaXD
40,piranha,https://acnhcdn.com/latest/MenuIcon/Fish32.png,https://acnhcdn.com/latest/BookFishIcon/FishPiraniaCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrFishPirania.png,2500,River,Small,20,No,NA,NA,NA,NA,NA,9 AM – 4 PM; 9 PM – 4 AM,9 AM – 4 PM; 9 PM – 4 AM,9 AM – 4 PM; 9 PM – 4 AM,9 AM – 4 PM; 9 PM – 4 AM,NA,NA,NA,9 AM – 4 PM; 9 PM – 4 AM,9 AM – 4 PM; 9 PM – 4 AM,9 AM – 4 PM; 9 PM – 4 AM,NA,NA,NA,NA,NA,NA,NA,NA,9 AM – 4 PM; 9 PM – 4 AM,Green,Black,1x1,Fluorescent,Fish32,FishPirania,FtrFishPirania,2249,5C59HAFxmwNSjH4Zq
25,pond smelt,https://acnhcdn.com/latest/MenuIcon/Fish21.png,https://acnhcdn.com/latest/BookFishIcon/FishWakasagiCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrFishWakasagi.png,400,River,Small,0,No,All day,All day,NA,NA,NA,NA,NA,NA,NA,NA,NA,All day,NA,NA,NA,NA,NA,All day,All day,All day,NA,NA,NA,NA,Orange,Blue,1x1,No lighting,Fish21,FishWakasagi,FtrFishWakasagi,2236,DDb2GPEjapPmbYbWG
8,pop-eyed goldfish,https://acnhcdn.com/latest/MenuIcon/Fish8.png,https://acnhcdn.com/latest/BookFishIcon/FishDemekinCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrFishDemekin.png,1300,Pond,X-Small,0,No,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,Black,Light blue,1x1,No lighting,Fish8,FishDemekin,FtrFishDemekin,2221,RvqzuA438gGqRJ7NG
55,puffer fish,https://acnhcdn.com/latest/MenuIcon/Fish45.png,https://acnhcdn.com/latest/BookFishIcon/FishHarisenbonCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrFishHarisenbon.png,250,Sea,Medium,0,No,NA,NA,NA,NA,NA,NA,All day,All day,All day,NA,NA,NA,All day,All day,All day,NA,NA,NA,NA,NA,NA,NA,NA,NA,Beige,Black,1x1,Fluorescent,Fish45,FishHarisenbon,FtrFishHarisenbon,2263,jNkgaybfSsv8MkaQ2
39,rainbowfish,https://acnhcdn.com/latest/MenuIcon/Fish80.png,https://acnhcdn.com/latest/BookFishIcon/FishRainbowfishCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrFishRainbowfish.png,800,River,X-Small,0,No,NA,NA,NA,NA,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,NA,NA,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,NA,NA,NA,NA,NA,NA,9 AM – 4 PM,9 AM – 4 PM,Orange,Black,1x1,Fluorescent,Fish80,FishRainbowfish,FtrFishRainbowfish,4194,XJfkdS4C2MPYiscST
9,ranchu goldfish,https://acnhcdn.com/latest/MenuIcon/Fish85.png,https://acnhcdn.com/latest/BookFishIcon/FishRanchuCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrFishRanchu.png,4500,Pond,Small,20,No,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,Red,Black,1x1,No lighting,Fish85,FishRanchu,FtrFishRanchu,5254,4NE2SteWKEaBYjgWb
71,ray,https://acnhcdn.com/latest/MenuIcon/Fish59.png,https://acnhcdn.com/latest/BookFishIcon/FishEiCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrFishEi.png,3000,Sea,X-Large,20,No,NA,NA,NA,NA,NA,NA,NA,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,NA,NA,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,NA,NA,NA,NA,NA,NA,NA,Brown,Black,2x1,Fluorescent,Fish59,FishEi,FtrFishEi,2277,gP5F7wWFvFqiZzuGw
60,red snapper,https://acnhcdn.com/latest/MenuIcon/Fish49.png,https://acnhcdn.com/latest/BookFishIcon/FishTaiCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrFishTai.png,3000,Sea,Large,0,No,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,Red,Black,1x1,Fluorescent,Fish49,FishTai,FtrFishTai,2267,iY4zfgojAfLskW4CQ
65,ribbon eel,https://acnhcdn.com/latest/MenuIcon/Fish71.png,https://acnhcdn.com/latest/BookFishIcon/FishHanahigeutuboCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrFishHanahige.png,600,Sea,Long,0,No,NA,NA,NA,NA,NA,All day,All day,All day,All day,All day,NA,NA,All day,All day,All day,All day,NA,NA,NA,NA,NA,NA,NA,All day,Blue,Black,2x1,Fluorescent,Fish71,FishHanahigeutubo,FtrFishHanahige,2272,T9zeSBHpB5qyAZTxu
45,saddled bichir,https://acnhcdn.com/latest/MenuIcon/Fish68.png,https://acnhcdn.com/latest/BookFishIcon/FishEndorikeriiCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrFishEndlicheri.png,4000,River,Large,20,No,NA,NA,NA,NA,NA,9 PM – 4 AM,9 PM – 4 AM,9 PM – 4 AM,9 PM – 4 AM,NA,NA,NA,9 PM – 4 AM,9 PM – 4 AM,9 PM – 4 AM,NA,NA,NA,NA,NA,NA,NA,NA,9 PM – 4 AM,Brown,Black,2x1,Fluorescent,Fish68,FishEndorikerii,FtrFishEndlicheri,2254,bcTmnwZxrw2iJsQmf
31,salmon,https://acnhcdn.com/latest/MenuIcon/Fish27.png,https://acnhcdn.com/latest/BookFishIcon/FishSakeCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrFishSake.png,700,River (mouth),Large,0,No,NA,NA,NA,NA,NA,NA,NA,NA,All day,NA,NA,NA,NA,NA,All day,NA,NA,NA,NA,NA,NA,NA,NA,NA,Brown,Black,2x1,Fluorescent,Fish27,FishSake,FtrFishSake,2242,iwXhnZcSezNxqdNQf
72,saw shark,https://acnhcdn.com/latest/MenuIcon/Fish74.png,https://acnhcdn.com/latest/BookFishIcon/FishNokogirizameCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrFishNokogiri.png,12000,Sea,Large w/Fin,50,No,NA,NA,NA,NA,NA,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,NA,NA,NA,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,NA,NA,NA,NA,NA,NA,NA,NA,4 PM – 9 AM,Brown,Black,2x1,Fluorescent,Fish74,FishNokogirizame,FtrFishNokogiri,2281,tsrT7a8cbtwZrmJTz
59,sea bass,https://acnhcdn.com/latest/MenuIcon/Fish48.png,https://acnhcdn.com/latest/BookFishIcon/FishSuzukiCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrFishSuzuki.png,400,Sea,X-Large,0,No,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,Gray,Black,2x1,Fluorescent,Fish48,FishSuzuki,FtrFishSuzuki,2266,LkA5hzibm6uiHDB9g
47,sea butterfly,https://acnhcdn.com/latest/MenuIcon/Fish37.png,https://acnhcdn.com/latest/BookFishIcon/FishKurioneCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrFishKurione.png,1000,Sea,X-Small,0,No,All day,All day,All day,NA,NA,NA,NA,NA,NA,NA,NA,All day,NA,NA,NA,NA,NA,All day,All day,All day,All day,NA,NA,NA,White,Black,1x1,Fluorescent,Fish37,FishKurione,FtrFishKurione,2255,kd5beizyQGeyjeM79
48,sea horse,https://acnhcdn.com/latest/MenuIcon/Fish39.png,https://acnhcdn.com/latest/BookFishIcon/FishTatsunootoshigoCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrFishTatsunootoshigo.png,1100,Sea,X-Small,0,No,NA,NA,NA,All day,All day,All day,All day,All day,All day,All day,All day,NA,All day,All day,All day,All day,All day,NA,NA,NA,NA,All day,All day,All day,Orange,Black,1x1,Fluorescent,Fish39,FishTatsunootoshigo,FtrFishTatsunootoshigo,2256,Pw5oZqC29NWEGRfyS
13,snapping turtle,https://acnhcdn.com/latest/MenuIcon/Fish78.png,https://acnhcdn.com/latest/BookFishIcon/FishKamitsukigameCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrFishKamitukigame.png,5000,River,Large,0,No,NA,NA,NA,9 PM – 4 AM,9 PM – 4 AM,9 PM – 4 AM,9 PM – 4 AM,9 PM – 4 AM,9 PM – 4 AM,9 PM – 4 AM,NA,NA,9 PM – 4 AM,9 PM – 4 AM,9 PM – 4 AM,9 PM – 4 AM,NA,NA,NA,NA,NA,9 PM – 4 AM,9 PM – 4 AM,9 PM – 4 AM,Brown,Black,1x1,No lighting,Fish78,FishKamitsukigame,FtrFishKamitukigame,4192,SJa3LLde3Yuz4H3D7
12,softshelled turtle,https://acnhcdn.com/latest/MenuIcon/Fish65.png,https://acnhcdn.com/latest/BookFishIcon/FishSupponCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrFishSuppon.png,3750,River,Large,20,No,NA,NA,NA,NA,NA,NA,NA,4 PM – 9 AM,4 PM – 9 AM,NA,NA,NA,NA,4 PM – 9 AM,4 PM – 9 AM,NA,NA,NA,NA,NA,NA,NA,NA,NA,Green,Black,1x1,No lighting,Fish65,FishSuppon,FtrFishSuppon,2224,izuY2f4GtEGT3BtuR
63,squid,https://acnhcdn.com/latest/MenuIcon/Fish52.png,https://acnhcdn.com/latest/BookFishIcon/FishIkaCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrFishIka.png,500,Sea,Medium,0,No,All day,All day,All day,All day,All day,All day,All day,All day,NA,NA,NA,All day,All day,All day,NA,NA,NA,All day,All day,All day,All day,All day,All day,All day,Beige,Black,1x1,Fluorescent,Fish52,FishIka,FtrFishIka,2270,qxHJ6BGgyQujkC28w
30,stringfish,https://acnhcdn.com/latest/MenuIcon/Fish26.png,https://acnhcdn.com/latest/BookFishIcon/FishItouCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrFishItou.png,15000,River (clifftop),X-Large,100,No,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,NA,NA,NA,NA,NA,NA,NA,NA,4 PM – 9 AM,NA,NA,NA,NA,NA,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,NA,NA,NA,Brown,Black,2x1,Fluorescent,Fish26,FishItou,FtrFishItou,2241,APXg8kSzjcmoGGWSP
46,sturgeon,https://acnhcdn.com/latest/MenuIcon/Fish75.png,https://acnhcdn.com/latest/BookFishIcon/FishTyouzameCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrFishTyouzame.png,10000,River (mouth),XX-Large,20,Yes,All day,All day,All day,NA,NA,NA,NA,NA,All day,All day,All day,All day,NA,NA,All day,All day,All day,All day,All day,All day,All day,NA,NA,NA,Black,Black,2x1,Fluorescent,Fish75,FishTyouzame,FtrFishTyouzame,4189,XabKYtzYDNSNrFvpw
76,suckerfish,https://acnhcdn.com/latest/MenuIcon/Fish83.png,https://acnhcdn.com/latest/BookFishIcon/FishKobanzameCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrFishKobanzame.png,1500,Sea,Medium w/Fin,20,No,NA,NA,NA,NA,NA,All day,All day,All day,All day,NA,NA,NA,All day,All day,All day,NA,NA,NA,NA,NA,NA,NA,NA,All day,Black,Black,1x1,Fluorescent,Fish83,FishKobanzame,FtrFishKobanzame,4203,FPpwmMDn9rYAJazyS
50,surgeonfish,https://acnhcdn.com/latest/MenuIcon/Fish41.png,https://acnhcdn.com/latest/BookFishIcon/FishNanyouhagiCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrFishNanyouhagi.png,1000,Sea,Small,0,No,NA,NA,NA,All day,All day,All day,All day,All day,All day,NA,NA,NA,All day,All day,All day,NA,NA,NA,NA,NA,NA,All day,All day,All day,Blue,Black,1x1,Fluorescent,Fish41,FishNanyouhagi,FtrFishNanyouhagi,2258,s7iioofF5C7PzCZyF
26,sweetfish,https://acnhcdn.com/latest/MenuIcon/Fish22.png,https://acnhcdn.com/latest/BookFishIcon/FishAyuCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrFishAyu.png,900,River,Medium,0,No,NA,NA,NA,NA,NA,NA,All day,All day,All day,NA,NA,NA,All day,All day,All day,NA,NA,NA,NA,NA,NA,NA,NA,NA,Green,Black,1x1,Fluorescent,Fish22,FishAyu,FtrFishAyu,2237,dWgg2bjCicuiZjXW6
14,tadpole,https://acnhcdn.com/latest/MenuIcon/Fish64.png,https://acnhcdn.com/latest/BookFishIcon/FishOtamajakusiCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrFishOtama.png,100,Pond,X-Small,0,No,NA,NA,All day,All day,All day,All day,All day,NA,NA,NA,NA,NA,All day,NA,NA,NA,NA,NA,NA,NA,All day,All day,All day,All day,Black,Blue,1x1,No lighting,Fish64,FishOtamajakusi,FtrFishOtama,2225,rb8MsjWopKYWuQK8s
23,tilapia,https://acnhcdn.com/latest/MenuIcon/Fish76.png,https://acnhcdn.com/latest/BookFishIcon/FishThirapiaCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrFishThirapia.png,800,River,Medium,0,No,NA,NA,NA,NA,NA,All day,All day,All day,All day,All day,NA,NA,All day,All day,All day,All day,NA,NA,NA,NA,NA,NA,NA,All day,Black,Black,1x1,Fluorescent,Fish76,FishThirapia,FtrFishThirapia,4190,as78rnkwY3ahrTkBY
66,tuna,https://acnhcdn.com/latest/MenuIcon/Fish57.png,https://acnhcdn.com/latest/BookFishIcon/FishMaguroCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrFishMaguro.png,7000,Pier,XX-Large,50,Yes,All day,All day,All day,All day,NA,NA,NA,NA,NA,NA,All day,All day,NA,NA,NA,NA,All day,All day,All day,All day,All day,All day,NA,NA,Blue,Black,2x1,Fluorescent,Fish57,FishMaguro,FtrFishMaguro,2274,4PnGXx9DSb866AeCM
75,whale shark,https://acnhcdn.com/latest/MenuIcon/Fish72.png,https://acnhcdn.com/latest/BookFishIcon/FishJinbeezameCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrFishJinbee.png,13000,Sea,Large w/Fin,50,Yes,NA,NA,NA,NA,NA,All day,All day,All day,All day,NA,NA,NA,All day,All day,All day,NA,NA,NA,NA,NA,NA,NA,NA,All day,Black,Blue,3x2,No lighting,Fish72,FishJinbeezame,FtrFishJinbee,2282,r3RAtJsXENwnFvQh7
21,yellow perch,https://acnhcdn.com/latest/MenuIcon/Fish18.png,https://acnhcdn.com/latest/BookFishIcon/FishYellowparchCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrFishYellowparch.png,300,River,Medium,0,No,All day,All day,All day,NA,NA,NA,NA,NA,NA,All day,All day,All day,NA,NA,NA,All day,All day,All day,All day,All day,All day,NA,NA,NA,Yellow,Black,1x1,Fluorescent,Fish18,FishYellowparch,FtrFishYellowparch,2233,bLgE5dicZniF5zZDW
53,zebra turkeyfish,https://acnhcdn.com/latest/MenuIcon/Fish44.png,https://acnhcdn.com/latest/BookFishIcon/FishMinokasagoCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrFishMinokasago.png,500,Sea,Medium,0,No,NA,NA,NA,All day,All day,All day,All day,All day,All day,All day,All day,NA,All day,All day,All day,All day,All day,NA,NA,NA,NA,All day,All day,All day,Red,Black,1x1,Fluorescent,Fish44,FishMinokasago,FtrFishMinokasago,2261,h7fa7Fh3Ay7vAxgE2
