nameKor,﻿Internal ID,Name,Image,Buy,Sell,Source,Source Notes,Color 1,Color 2,Catalog,DIY,Size,HHA Concept 1,HHA Concept 2,HHA Series,VFX
공터 바닥,4985,sandlot,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorEmptyLot00.png,3000,750,Saharah,,Yellow,Beige,Not for sale,No,,garden,None,None,No
모래사장 바닥,4970,sandy-beach flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorSand00.png,NFS,4120,Crafting,,Beige,Beige,Not for sale,Yes,,ocean,None,None,No
우주선 바닥,5270,sci-fi flooring,https://acnhcdn.com/latest/FtrIcon/RoomSpFloorSF00.png,NFS,7500,Crafting,,Black,Black,Not for sale,Yes,,space,facility,None,Yes
대각선 횡단보도,5010,scramble crosswalk,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorScramble00.png,3000,750,Saharah,,Gray,Gray,Not for sale,No,,facility,None,None,No
세피아 퍼즐 바닥,7184,sepia puzzle flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorPuzzleMat02.png,1450,362,Nook's Cranny,,Colorful,Colorful,For sale,No,,fancy,child's room,None,No
갑판 바닥,4950,ship deck,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorSeaView00.png,4000,1000,Nook's Cranny,,Beige,Beige,For sale,No,,ocean,None,None,No
보도블록 바닥,5008,sidewalk flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorSidewalk01.png,3000,750,Saharah,,Gray,Brown,Not for sale,No,,shop,facility,None,No
파란 심플 카펫 바닥,5001,simple blue flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorSimpleCarpet01.png,1500,375,Nook's Cranny,,Blue,Blue,For sale,No,,den,living room,None,No
보라 심플 카펫 바닥,5003,simple purple flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorSimpleCarpet03.png,1500,375,Nook's Cranny,,Purple,Purple,For sale,No,,den,expensive,None,No
빨간 심플 카펫 바닥,5000,simple red flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorSimpleCarpet00.png,1500,375,Nook's Cranny,,Red,Red,For sale,No,,den,expensive,None,No
하얀 심플 카펫 바닥,5004,simple white flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorSimpleCarpet04.png,1500,375,Nook's Cranny,,White,White,For sale,No,,living room,shop,None,No
스키장 바닥,4989,ski-slope flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorGelande00.png,NFS,3200,Crafting,,White,White,Not for sale,Yes,,freezing cold,None,None,No
해골 바닥,5248,skull-print flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorSkull00.png,3000,750,Nook's Cranny,,Black,Black,For sale,No,,horror,child's room,None,No
마구 붙인 돌바닥,5233,slate flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorSlate00.png,1380,345,Nook's Cranny,,Gray,Gray,For sale,No,,facility,shop,None,No
별빛 모래사장 바닥,7239,starry-sands flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorSandStar00.png,NFS,7720,Crafting,,Beige,White,Not for sale,Yes,,ocean,fancy,None,No
철판 바닥,4960,steel flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorSteel00.png,NFS,5250,Crafting,,Gray,Gray,Not for sale,Yes,,garage,facility,None,No
대리석 바닥,5069,stone tile,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorMarble00.png,3000,750,Nook's Cranny,,White,White,For sale,No,,expensive,facility,None,No
스트라이프 바닥,4963,stripe flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorStripe00.png,1200,300,Nook's Cranny,,Colorful,Gray,For sale,No,,living room,child's room,None,No
씨름판,5013,sumo ring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorArena00.png,3000,750,Saharah,,Beige,Beige,Not for sale,No,,fitness,zen-style,None,No
진흙탕 바닥,5238,swamp flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorBog00.png,3000,750,Saharah,,Black,Gray,Not for sale,No,,garden,horror,None,No
일본식 바닥,5039,tatami,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorTatami00.png,2200,550,Nook's Cranny,,Beige,Beige,For sale,No,,zen-style,living room,None,No
일본식 돗자리 바닥,5077,tatami flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorTatamiPanel00.png,2200,550,Nook's Cranny,,Green,White,For sale,No,,zen-style,living room,None,No
테라코타 타일 바닥,4971,terra-cotta flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorTileTerracotta00.png,1800,450,Nook's Cranny,,Orange,Orange,For sale,No,,facility,shop,None,No
호랑이 카펫 바닥,6848,tiger-print flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorAnimal03.png,1300,325,Nook's Cranny,,Black,Orange,For sale,No,,party,fancy,None,No
승강장 바닥,5009,train-station flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorPlatform00.png,3000,750,Saharah,,Beige,Brown,Not for sale,No,,facility,None,None,No
해저 바닥,5268,underwater flooring,https://acnhcdn.com/latest/FtrIcon/RoomSpFloorFishTank00.png,NFS,6600,Crafting,,Blue,Light blue,Not for sale,Yes,,ocean,None,None,Yes
수면 바닥,5030,water flooring,https://acnhcdn.com/latest/FtrIcon/RoomSpFloorWater00.png,NFS,7200,Crafting,,Light blue,Blue,Not for sale,Yes,,ocean,None,None,Yes
황야 바닥,4984,western desert,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorWilderness00.png,3000,750,Saharah,,Beige,Beige,Not for sale,No,,folk art,horror,None,No
하얀 육각 타일 바닥,5042,white honeycomb tile,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorHoneycomb03.png,1420,355,Nook's Cranny,,White,White,For sale,No,,bathroom,facility,None,No
하얀 패턴 바닥,6843,white iron-parquet flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorParquetIron03.png,2350,587,Nook's Cranny,,White,White,For sale,No,,expensive,living room,None,No
하얀 모자이크 타일 바닥,5020,white mosaic-tile flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorTile00.png,900,225,Nook's Cranny,,White,White,For sale,No,,bathroom,facility,None,No
하얀 웨딩 바닥,12431,white wedding flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorMarbleTile00.png,3000,750,Wedding Season,,None,None,Not for sale,No,,party,expensive,wedding,
하얀 벽돌 바닥,4974,white-brick flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorBrick00.png,1040,260,Nook's Cranny,,White,White,For sale,No,,facility,shop,None,No
화이트 초콜릿 바닥,5052,white-chocolates flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorChocolate01.png,3000,750,Saharah,,White,Beige,Not for sale,No,,fancy,None,None,No
하얀 페인트 마룻바닥,5060,white-paint flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorPaintWood03.png,1040,260,Nook's Cranny,,White,White,For sale,No,,living room,child's room,None,No
풀꽃 카펫 바닥,5006,wildflower meadow,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorGrassland01.png,3000,750,Saharah,,Green,Green,Not for sale,No,,garden,fancy,None,No
옹이 무늬 마룻바닥,5049,wooden-knot flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorCedar00.png,780,195,Nook's Cranny,,Brown,Brown,For sale,No,,living room,child's room,None,No
노란 꽃무늬 마룻바닥,5073,yellow floral flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorDecoWood00.png,1520,380,Nook's Cranny,,Yellow,Yellow,For sale,No,,shop,living room,None,No
얼룩말 무늬 바닥,4962,zebra-print flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorAnimal02.png,1300,325,Nook's Cranny,,Black,White,For sale,No,,party,fancy,None,No
