Name,Image,Variation,Body Title,DIY,Customize,Kit Cost,Uses,Stack Size,Buy,Sell,Color 1,Color 2,Size,Source,Source Notes,Variant ID,Internal ID
outdoorsy shovel,https://acnhcdn.com/latest/FtrIcon/ToolScoopOutdoor_Remake_4_0.png,Beige,Color,No,Yes,1,100,1,2500,625,None,None,1x1,Nook's Cranny,Available in Nook's Cranny (upgraded only),4_0,8575
outdoorsy shovel,https://acnhcdn.com/latest/FtrIcon/ToolScoopOutdoor_Remake_5_0.png,Pink,Color,No,Yes,1,100,1,2500,625,None,None,1x1,Nook's Cranny,Available in Nook's Cranny (upgraded only),5_0,8575
outdoorsy shovel,https://acnhcdn.com/latest/FtrIcon/ToolScoopOutdoor_Remake_6_0.png,Yellow,Color,No,Yes,1,100,1,2500,625,None,None,1x1,Nook's Cranny,Available in Nook's Cranny (upgraded only),6_0,8575
outdoorsy shovel,https://acnhcdn.com/latest/FtrIcon/ToolScoopOutdoor_Remake_7_0.png,Black,Color,No,Yes,1,100,1,2500,625,None,None,1x1,Nook's Cranny,Available in Nook's Cranny (upgraded only),7_0,8575
outdoorsy slingshot,https://acnhcdn.com/latest/FtrIcon/ToolSlingshotOutdoor_Remake_0_0.png,Avocado,Color,No,Yes,1,20,1,2500,625,None,None,1x1,Nook's Cranny,Available in Nook's Cranny (upgraded only),0_0,8579
outdoorsy slingshot,https://acnhcdn.com/latest/FtrIcon/ToolSlingshotOutdoor_Remake_1_0.png,Orange,Color,No,Yes,1,20,1,2500,625,None,None,1x1,Nook's Cranny,Available in Nook's Cranny (upgraded only),1_0,8579
outdoorsy slingshot,https://acnhcdn.com/latest/FtrIcon/ToolSlingshotOutdoor_Remake_2_0.png,Light blue,Color,No,Yes,1,20,1,2500,625,None,None,1x1,Nook's Cranny,Available in Nook's Cranny (upgraded only),2_0,8579
outdoorsy slingshot,https://acnhcdn.com/latest/FtrIcon/ToolSlingshotOutdoor_Remake_3_0.png,Red,Color,No,Yes,1,20,1,2500,625,None,None,1x1,Nook's Cranny,Available in Nook's Cranny (upgraded only),3_0,8579
outdoorsy slingshot,https://acnhcdn.com/latest/FtrIcon/ToolSlingshotOutdoor_Remake_4_0.png,Beige,Color,No,Yes,1,20,1,2500,625,None,None,1x1,Nook's Cranny,Available in Nook's Cranny (upgraded only),4_0,8579
outdoorsy slingshot,https://acnhcdn.com/latest/FtrIcon/ToolSlingshotOutdoor_Remake_5_0.png,Pink,Color,No,Yes,1,20,1,2500,625,None,None,1x1,Nook's Cranny,Available in Nook's Cranny (upgraded only),5_0,8579
outdoorsy slingshot,https://acnhcdn.com/latest/FtrIcon/ToolSlingshotOutdoor_Remake_6_0.png,Yellow,Color,No,Yes,1,20,1,2500,625,None,None,1x1,Nook's Cranny,Available in Nook's Cranny (upgraded only),6_0,8579
outdoorsy slingshot,https://acnhcdn.com/latest/FtrIcon/ToolSlingshotOutdoor_Remake_7_0.png,Black,Color,No,Yes,1,20,1,2500,625,None,None,1x1,Nook's Cranny,Available in Nook's Cranny (upgraded only),7_0,8579
outdoorsy watering can,https://acnhcdn.com/latest/FtrIcon/ToolWateringOutdoor_Remake_0_0.png,Avocado,Color,No,Yes,1,60,1,2500,625,None,None,1x1,Nook's Cranny,Available in Nook's Cranny (upgraded only),0_0,8536
outdoorsy watering can,https://acnhcdn.com/latest/FtrIcon/ToolWateringOutdoor_Remake_1_0.png,Orange,Color,No,Yes,1,60,1,2500,625,None,None,1x1,Nook's Cranny,Available in Nook's Cranny (upgraded only),1_0,8536
outdoorsy watering can,https://acnhcdn.com/latest/FtrIcon/ToolWateringOutdoor_Remake_2_0.png,Light blue,Color,No,Yes,1,60,1,2500,625,None,None,1x1,Nook's Cranny,Available in Nook's Cranny (upgraded only),2_0,8536
outdoorsy watering can,https://acnhcdn.com/latest/FtrIcon/ToolWateringOutdoor_Remake_3_0.png,Red,Color,No,Yes,1,60,1,2500,625,None,None,1x1,Nook's Cranny,Available in Nook's Cranny (upgraded only),3_0,8536
outdoorsy watering can,https://acnhcdn.com/latest/FtrIcon/ToolWateringOutdoor_Remake_4_0.png,Beige,Color,No,Yes,1,60,1,2500,625,None,None,1x1,Nook's Cranny,Available in Nook's Cranny (upgraded only),4_0,8536
outdoorsy watering can,https://acnhcdn.com/latest/FtrIcon/ToolWateringOutdoor_Remake_5_0.png,Pink,Color,No,Yes,1,60,1,2500,625,None,None,1x1,Nook's Cranny,Available in Nook's Cranny (upgraded only),5_0,8536
outdoorsy watering can,https://acnhcdn.com/latest/FtrIcon/ToolWateringOutdoor_Remake_6_0.png,Yellow,Color,No,Yes,1,60,1,2500,625,None,None,1x1,Nook's Cranny,Available in Nook's Cranny (upgraded only),6_0,8536
outdoorsy watering can,https://acnhcdn.com/latest/FtrIcon/ToolWateringOutdoor_Remake_7_0.png,Black,Color,No,Yes,1,60,1,2500,625,None,None,1x1,Nook's Cranny,Available in Nook's Cranny (upgraded only),7_0,8536
pan flute,https://acnhcdn.com/latest/FtrIcon/ToolPanpipe.png,NA,NA,Yes,No,NA,Unlimited,1,NFS,2800,None,None,1x1,Crafting,,NA,5517
pansy wand,https://acnhcdn.com/latest/FtrIcon/ToolStickPansy.png,NA,NA,Yes,No,NA,Unlimited,1,NFS,1580,None,None,1x1,Crafting,,NA,5091
party popper,https://acnhcdn.com/latest/FtrIcon/ToolCracker.png,NA,NA,No,No,NA,1,10,100,25,None,None,1x1,Nook's Cranny,Only available close to new year holiday,NA,2753
printed-design shovel,https://acnhcdn.com/latest/FtrIcon/ToolScoopPattern_Remake_0_0.png,Light blue,Color,No,Yes,1,100,1,2500,625,None,None,1x1,Nook's Cranny,Available in Nook's Cranny (upgraded only),0_0,8576
printed-design shovel,https://acnhcdn.com/latest/FtrIcon/ToolScoopPattern_Remake_1_0.png,White,Color,No,Yes,1,100,1,2500,625,None,None,1x1,Nook's Cranny,Available in Nook's Cranny (upgraded only),1_0,8576
printed-design shovel,https://acnhcdn.com/latest/FtrIcon/ToolScoopPattern_Remake_2_0.png,Yellow,Color,No,Yes,1,100,1,2500,625,None,None,1x1,Nook's Cranny,Available in Nook's Cranny (upgraded only),2_0,8576
printed-design shovel,https://acnhcdn.com/latest/FtrIcon/ToolScoopPattern_Remake_3_0.png,Pink,Color,No,Yes,1,100,1,2500,625,None,None,1x1,Nook's Cranny,Available in Nook's Cranny (upgraded only),3_0,8576
printed-design shovel,https://acnhcdn.com/latest/FtrIcon/ToolScoopPattern_Remake_4_0.png,Green,Color,No,Yes,1,100,1,2500,625,None,None,1x1,Nook's Cranny,Available in Nook's Cranny (upgraded only),4_0,8576
printed-design shovel,https://acnhcdn.com/latest/FtrIcon/ToolScoopPattern_Remake_5_0.png,Blue,Color,No,Yes,1,100,1,2500,625,None,None,1x1,Nook's Cranny,Available in Nook's Cranny (upgraded only),5_0,8576
printed-design shovel,https://acnhcdn.com/latest/FtrIcon/ToolScoopPattern_Remake_6_0.png,Purple,Color,No,Yes,1,100,1,2500,625,None,None,1x1,Nook's Cranny,Available in Nook's Cranny (upgraded only),6_0,8576
printed-design shovel,https://acnhcdn.com/latest/FtrIcon/ToolScoopPattern_Remake_7_0.png,Black,Color,No,Yes,1,100,1,2500,625,None,None,1x1,Nook's Cranny,Available in Nook's Cranny (upgraded only),7_0,8576
rose wand,https://acnhcdn.com/latest/FtrIcon/ToolStickRose.png,NA,NA,Yes,No,NA,Unlimited,1,NFS,1580,None,None,1x1,Crafting,,NA,5093
shell wand,https://acnhcdn.com/latest/FtrIcon/ToolStickShell.png,NA,NA,Yes,No,NA,Unlimited,1,NFS,5100,None,None,1x1,Crafting,,NA,7586
shovel,https://acnhcdn.com/latest/FtrIcon/ToolScoop_Remake_0_0.png,Red,Color,Yes,Yes,1,100,1,2400,600,None,None,1x1,Crafting,,0_0,2099
shovel,https://acnhcdn.com/latest/FtrIcon/ToolScoop_Remake_1_0.png,Yellow,Color,Yes,Yes,1,100,1,2400,600,None,None,1x1,Crafting,,1_0,2099
shovel,https://acnhcdn.com/latest/FtrIcon/ToolScoop_Remake_2_0.png,Green,Color,Yes,Yes,1,100,1,2400,600,None,None,1x1,Crafting,,2_0,2099
shovel,https://acnhcdn.com/latest/FtrIcon/ToolScoop_Remake_3_0.png,Blue,Color,Yes,Yes,1,100,1,2400,600,None,None,1x1,Crafting,,3_0,2099
shovel,https://acnhcdn.com/latest/FtrIcon/ToolScoop_Remake_4_0.png,Purple,Color,Yes,Yes,1,100,1,2400,600,None,None,1x1,Crafting,,4_0,2099
shovel,https://acnhcdn.com/latest/FtrIcon/ToolScoop_Remake_5_0.png,Pink,Color,Yes,Yes,1,100,1,2400,600,None,None,1x1,Crafting,,5_0,2099
shovel,https://acnhcdn.com/latest/FtrIcon/ToolScoop_Remake_6_0.png,White,Color,Yes,Yes,1,100,1,2400,600,None,None,1x1,Crafting,,6_0,2099
shovel,https://acnhcdn.com/latest/FtrIcon/ToolScoop_Remake_7_0.png,Black,Color,Yes,Yes,1,100,1,2400,600,None,None,1x1,Crafting,,7_0,2099
slingshot,https://acnhcdn.com/latest/FtrIcon/ToolSlingshot_Remake_0_0.png,Red,Color,Yes,Yes,1,20,1,900,225,None,None,1x1,"Nook's Cranny
Crafting","Available in all tiers of shops, including Timmy & Tommy before the shop is opened",0_0,2822
slingshot,https://acnhcdn.com/latest/FtrIcon/ToolSlingshot_Remake_1_0.png,Yellow,Color,Yes,Yes,1,20,1,900,225,None,None,1x1,"Nook's Cranny
Crafting","Available in all tiers of shops, including Timmy & Tommy before the shop is opened",1_0,2822
slingshot,https://acnhcdn.com/latest/FtrIcon/ToolSlingshot_Remake_2_0.png,Green,Color,Yes,Yes,1,20,1,900,225,None,None,1x1,"Nook's Cranny
Crafting","Available in all tiers of shops, including Timmy & Tommy before the shop is opened",2_0,2822
slingshot,https://acnhcdn.com/latest/FtrIcon/ToolSlingshot_Remake_3_0.png,Blue,Color,Yes,Yes,1,20,1,900,225,None,None,1x1,"Nook's Cranny
Crafting","Available in all tiers of shops, including Timmy & Tommy before the shop is opened",3_0,2822
slingshot,https://acnhcdn.com/latest/FtrIcon/ToolSlingshot_Remake_4_0.png,Purple,Color,Yes,Yes,1,20,1,900,225,None,None,1x1,"Nook's Cranny
Crafting","Available in all tiers of shops, including Timmy & Tommy before the shop is opened",4_0,2822
slingshot,https://acnhcdn.com/latest/FtrIcon/ToolSlingshot_Remake_5_0.png,Pink,Color,Yes,Yes,1,20,1,900,225,None,None,1x1,"Nook's Cranny
Crafting","Available in all tiers of shops, including Timmy & Tommy before the shop is opened",5_0,2822
slingshot,https://acnhcdn.com/latest/FtrIcon/ToolSlingshot_Remake_6_0.png,White,Color,Yes,Yes,1,20,1,900,225,None,None,1x1,"Nook's Cranny
Crafting","Available in all tiers of shops, including Timmy & Tommy before the shop is opened",6_0,2822
slingshot,https://acnhcdn.com/latest/FtrIcon/ToolSlingshot_Remake_7_0.png,Gray,Color,Yes,Yes,1,20,1,900,225,None,None,1x1,"Nook's Cranny
Crafting","Available in all tiers of shops, including Timmy & Tommy before the shop is opened",7_0,2822
star net,https://acnhcdn.com/latest/FtrIcon/ToolNetStar_Remake_0_0.png,Yellow,Color,No,Yes,1,30,1,2500,625,None,None,1x1,Nook's Cranny,Available in Nook's Cranny (upgraded only),0_0,8176
star net,https://acnhcdn.com/latest/FtrIcon/ToolNetStar_Remake_1_0.png,Red,Color,No,Yes,1,30,1,2500,625,None,None,1x1,Nook's Cranny,Available in Nook's Cranny (upgraded only),1_0,8176
star net,https://acnhcdn.com/latest/FtrIcon/ToolNetStar_Remake_2_0.png,Blue,Color,No,Yes,1,30,1,2500,625,None,None,1x1,Nook's Cranny,Available in Nook's Cranny (upgraded only),2_0,8176
star net,https://acnhcdn.com/latest/FtrIcon/ToolNetStar_Remake_3_0.png,Light green,Color,No,Yes,1,30,1,2500,625,None,None,1x1,Nook's Cranny,Available in Nook's Cranny (upgraded only),3_0,8176
star net,https://acnhcdn.com/latest/FtrIcon/ToolNetStar_Remake_4_0.png,Pink,Color,No,Yes,1,30,1,2500,625,None,None,1x1,Nook's Cranny,Available in Nook's Cranny (upgraded only),4_0,8176
star net,https://acnhcdn.com/latest/FtrIcon/ToolNetStar_Remake_5_0.png,Purple,Color,No,Yes,1,30,1,2500,625,None,None,1x1,Nook's Cranny,Available in Nook's Cranny (upgraded only),5_0,8176
star net,https://acnhcdn.com/latest/FtrIcon/ToolNetStar_Remake_6_0.png,Light blue,Color,No,Yes,1,30,1,2500,625,None,None,1x1,Nook's Cranny,Available in Nook's Cranny (upgraded only),6_0,8176
star net,https://acnhcdn.com/latest/FtrIcon/ToolNetStar_Remake_7_0.png,Green,Color,No,Yes,1,30,1,2500,625,None,None,1x1,Nook's Cranny,Available in Nook's Cranny (upgraded only),7_0,8176
star wand,https://acnhcdn.com/latest/FtrIcon/ToolChangeStick.png,NA,NA,Yes,No,NA,Unlimited,1,NFS,6500,None,None,1x1,Crafting,,NA,2544
stone axe,https://acnhcdn.com/latest/FtrIcon/ToolAxeStoneNormal.png,NA,NA,Yes,No,NA,100,1,NFS,560,None,None,1x1,Crafting,,NA,5856
tambourine,https://acnhcdn.com/latest/FtrIcon/ToolTambourine.png,NA,NA,No,No,NA,Unlimited,1,1500,375,None,None,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,NA,5430
timer,https://acnhcdn.com/latest/FtrIcon/ToolTimer.png,NA,NA,No,No,NA,Unlimited,1,840,210,None,None,1x1,Nook's Cranny,,NA,3331
tree-branch wand,https://acnhcdn.com/latest/FtrIcon/ToolStickTree.png,NA,NA,Yes,No,NA,Unlimited,1,NFS,1550,None,None,1x1,Crafting,,NA,7587
tulip wand,https://acnhcdn.com/latest/FtrIcon/ToolStickTulip.png,NA,NA,Yes,No,NA,Unlimited,1,NFS,1580,None,None,1x1,Crafting,,NA,5085
vaulting pole,https://acnhcdn.com/latest/FtrIcon/LongWoodenStick.png,NA,NA,Yes,No,NA,Unlimited,1,NFS,600,None,None,1x1,Crafting,,NA,4703
wand,https://acnhcdn.com/latest/FtrIcon/ToolStickWood.png,NA,NA,Yes,No,NA,Unlimited,1,NFS,1000,None,None,1x1,Crafting,,NA,7584
watering can,https://acnhcdn.com/latest/FtrIcon/ToolWatering_Remake_0_0.png,Blue,Color,Yes,Yes,1,60,1,2400,600,None,None,1x1,Crafting,,0_0,2379
watering can,https://acnhcdn.com/latest/FtrIcon/ToolWatering_Remake_1_0.png,Orange,Color,Yes,Yes,1,60,1,2400,600,None,None,1x1,Crafting,,1_0,2379
watering can,https://acnhcdn.com/latest/FtrIcon/ToolWatering_Remake_2_0.png,Green,Color,Yes,Yes,1,60,1,2400,600,None,None,1x1,Crafting,,2_0,2379
watering can,https://acnhcdn.com/latest/FtrIcon/ToolWatering_Remake_3_0.png,Red,Color,Yes,Yes,1,60,1,2400,600,None,None,1x1,Crafting,,3_0,2379
watering can,https://acnhcdn.com/latest/FtrIcon/ToolWatering_Remake_4_0.png,Purple,Color,Yes,Yes,1,60,1,2400,600,None,None,1x1,Crafting,,4_0,2379
watering can,https://acnhcdn.com/latest/FtrIcon/ToolWatering_Remake_6_0.png,White,Color,Yes,Yes,1,60,1,2400,600,None,None,1x1,Crafting,,6_0,2379
watering can,https://acnhcdn.com/latest/FtrIcon/ToolWatering_Remake_7_0.png,Black,Color,Yes,Yes,1,60,1,2400,600,None,None,1x1,Crafting,,7_0,2379
wedding wand,https://acnhcdn.com/latest/FtrIcon/ToolStickJune.png,NA,NA,Yes,No,NA,Unlimited,1,NFS,3500,None,None,1x1,Wedding Season,,NA,12695
windflower wand,https://acnhcdn.com/latest/FtrIcon/ToolStickAnemones.png,NA,NA,Yes,No,NA,Unlimited,1,NFS,1580,None,None,1x1,Crafting,,NA,5084
worn axe,https://acnhcdn.com/latest/FtrIcon/ToolAxeFragile.png,NA,NA,No,No,NA,3,1,40,10,None,None,1x1,May Day Tour,Only available during May Day Tour,NA,12615
