Name,Image,Variation,Body Title,Pattern,Pattern Title,DIY,Body Customize,Pattern Customize,Kit Cost,Buy,Sell,Size,Source,Source Notes,HHA Concept 1,HHA Concept 2,HHA Series,HHA Set,Interact,Tag,Catalog,Variant ID,Internal ID
cute floor lamp,https://acnhcdn.com/latest/FtrIcon/FtrCuteLamp_Remake_0_0.png,White,NA,NA,NA,No,No,No,NA,3500,875,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",fancy,None,cute,None,Yes,Lamp,For sale,0_0,4002
cute floor lamp,https://acnhcdn.com/latest/FtrIcon/FtrCuteLamp_Remake_1_0.png,Sky blue,NA,NA,NA,No,No,No,NA,3500,875,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",fancy,None,cute,None,Yes,Lamp,For sale,1_0,4002
cute floor lamp,https://acnhcdn.com/latest/FtrIcon/FtrCuteLamp_Remake_2_0.png,Yellow,NA,NA,NA,No,No,No,NA,3500,875,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",fancy,None,cute,None,Yes,Lamp,For sale,2_0,4002
cute floor lamp,https://acnhcdn.com/latest/FtrIcon/FtrCuteLamp_Remake_3_0.png,Red,NA,NA,NA,No,No,No,NA,3500,875,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",fancy,None,cute,None,Yes,Lamp,For sale,3_0,4002
cute floor lamp,https://acnhcdn.com/latest/FtrIcon/FtrCuteLamp_Remake_4_0.png,Blue,NA,NA,NA,No,No,No,NA,3500,875,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",fancy,None,cute,None,Yes,Lamp,For sale,4_0,4002
cute sofa,https://acnhcdn.com/latest/FtrIcon/FtrCuteChairL_Remake_0_0.png,White,NA,NA,NA,No,No,No,NA,9600,2400,2x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",fancy,None,cute,None,Yes,Sofa,For sale,0_0,3998
cute sofa,https://acnhcdn.com/latest/FtrIcon/FtrCuteChairL_Remake_1_0.png,Sky blue,NA,NA,NA,No,No,No,NA,9600,2400,2x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",fancy,None,cute,None,Yes,Sofa,For sale,1_0,3998
cute sofa,https://acnhcdn.com/latest/FtrIcon/FtrCuteChairL_Remake_2_0.png,Yellow,NA,NA,NA,No,No,No,NA,9600,2400,2x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",fancy,None,cute,None,Yes,Sofa,For sale,2_0,3998
cute sofa,https://acnhcdn.com/latest/FtrIcon/FtrCuteChairL_Remake_3_0.png,Red,NA,NA,NA,No,No,No,NA,9600,2400,2x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",fancy,None,cute,None,Yes,Sofa,For sale,3_0,3998
cute sofa,https://acnhcdn.com/latest/FtrIcon/FtrCuteChairL_Remake_4_0.png,Blue,NA,NA,NA,No,No,No,NA,9600,2400,2x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",fancy,None,cute,None,Yes,Sofa,For sale,4_0,3998
cute tea table,https://acnhcdn.com/latest/FtrIcon/FtrCuteTableS_Remake_0_0.png,White,NA,NA,NA,No,No,No,NA,3000,750,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",fancy,None,cute,None,No,Table,For sale,0_0,4000
cute tea table,https://acnhcdn.com/latest/FtrIcon/FtrCuteTableS_Remake_1_0.png,Sky blue,NA,NA,NA,No,No,No,NA,3000,750,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",fancy,None,cute,None,No,Table,For sale,1_0,4000
cute tea table,https://acnhcdn.com/latest/FtrIcon/FtrCuteTableS_Remake_2_0.png,Yellow,NA,NA,NA,No,No,No,NA,3000,750,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",fancy,None,cute,None,No,Table,For sale,2_0,4000
cute tea table,https://acnhcdn.com/latest/FtrIcon/FtrCuteTableS_Remake_3_0.png,Red,NA,NA,NA,No,No,No,NA,3000,750,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",fancy,None,cute,None,No,Table,For sale,3_0,4000
cute tea table,https://acnhcdn.com/latest/FtrIcon/FtrCuteTableS_Remake_4_0.png,Blue,NA,NA,NA,No,No,No,NA,3000,750,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",fancy,None,cute,None,No,Table,For sale,4_0,4000
cute vanity,https://acnhcdn.com/latest/FtrIcon/FtrCuteDresser_Remake_0_0.png,White,NA,NA,NA,No,No,No,NA,5400,1350,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",fancy,None,cute,None,Yes,Dresser,For sale,0_0,4001
cute vanity,https://acnhcdn.com/latest/FtrIcon/FtrCuteDresser_Remake_1_0.png,Sky blue,NA,NA,NA,No,No,No,NA,5400,1350,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",fancy,None,cute,None,Yes,Dresser,For sale,1_0,4001
cute vanity,https://acnhcdn.com/latest/FtrIcon/FtrCuteDresser_Remake_2_0.png,Yellow,NA,NA,NA,No,No,No,NA,5400,1350,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",fancy,None,cute,None,Yes,Dresser,For sale,2_0,4001
cute vanity,https://acnhcdn.com/latest/FtrIcon/FtrCuteDresser_Remake_3_0.png,Red,NA,NA,NA,No,No,No,NA,5400,1350,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",fancy,None,cute,None,Yes,Dresser,For sale,3_0,4001
cute vanity,https://acnhcdn.com/latest/FtrIcon/FtrCuteDresser_Remake_4_0.png,Blue,NA,NA,NA,No,No,No,NA,5400,1350,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",fancy,None,cute,None,Yes,Dresser,For sale,4_0,4001
cute wardrobe,https://acnhcdn.com/latest/FtrIcon/FtrCuteClosetLR_Remake_0_0.png,White,NA,NA,NA,No,No,No,NA,7300,1825,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",fancy,None,cute,None,Wardrobe,Chest,For sale,0_0,3997
cute wardrobe,https://acnhcdn.com/latest/FtrIcon/FtrCuteClosetLR_Remake_1_0.png,Sky blue,NA,NA,NA,No,No,No,NA,7300,1825,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",fancy,None,cute,None,Wardrobe,Chest,For sale,1_0,3997
cute wardrobe,https://acnhcdn.com/latest/FtrIcon/FtrCuteClosetLR_Remake_2_0.png,Yellow,NA,NA,NA,No,No,No,NA,7300,1825,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",fancy,None,cute,None,Wardrobe,Chest,For sale,2_0,3997
cute wardrobe,https://acnhcdn.com/latest/FtrIcon/FtrCuteClosetLR_Remake_3_0.png,Red,NA,NA,NA,No,No,No,NA,7300,1825,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",fancy,None,cute,None,Wardrobe,Chest,For sale,3_0,3997
cute wardrobe,https://acnhcdn.com/latest/FtrIcon/FtrCuteClosetLR_Remake_4_0.png,Blue,NA,NA,NA,No,No,No,NA,7300,1825,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",fancy,None,cute,None,Wardrobe,Chest,For sale,4_0,3997
cypress bathtub,https://acnhcdn.com/latest/FtrIcon/FtrBathHinoki_Remake_0_0.png,Light wood,NA,NA,NA,No,No,No,NA,13000,3250,2x2,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",bathroom,None,None,None,No,Bathtub,For sale,0_0,7153
cypress bathtub,https://acnhcdn.com/latest/FtrIcon/FtrBathHinoki_Remake_1_0.png,Natural wood,NA,NA,NA,No,No,No,NA,13000,3250,2x2,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",bathroom,None,None,None,No,Bathtub,For sale,1_0,7153
cypress bathtub,https://acnhcdn.com/latest/FtrIcon/FtrBathHinoki_Remake_2_0.png,Dark wood,NA,NA,NA,No,No,No,NA,13000,3250,2x2,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",bathroom,None,None,None,No,Bathtub,For sale,2_0,7153
cypress plant,https://acnhcdn.com/latest/FtrIcon/FtrPlantGoldcrest_Remake_0_0.png,Brown,NA,NA,NA,No,No,No,NA,1000,250,1x1,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,living room,None,None,None,No,Plants,For sale,0_0,1829
cypress plant,https://acnhcdn.com/latest/FtrIcon/FtrPlantGoldcrest_Remake_1_0.png,Blue,NA,NA,NA,No,No,No,NA,1000,250,1x1,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,living room,None,None,None,No,Plants,For sale,1_0,1829
cypress plant,https://acnhcdn.com/latest/FtrIcon/FtrPlantGoldcrest_Remake_2_0.png,Yellow,NA,NA,NA,No,No,No,NA,1000,250,1x1,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,living room,None,None,None,No,Plants,For sale,2_0,1829
cypress plant,https://acnhcdn.com/latest/FtrIcon/FtrPlantGoldcrest_Remake_3_0.png,Black,NA,NA,NA,No,No,No,NA,1000,250,1x1,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,living room,None,None,None,No,Plants,For sale,3_0,1829
cypress plant,https://acnhcdn.com/latest/FtrIcon/FtrPlantGoldcrest_Remake_4_0.png,White,NA,NA,NA,No,No,No,NA,1000,250,1x1,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,living room,None,None,None,No,Plants,For sale,4_0,1829
dartboard,https://acnhcdn.com/latest/FtrIcon/FtrDarts.png,NA,NA,NA,NA,No,No,No,NA,5200,1300,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",shop,facility,None,None,Yes,Sports,For sale,NA,937
deer scare,https://acnhcdn.com/latest/FtrIcon/FtrShishiodoshi_Remake_0_0.png,Green bamboo,Bamboo,NA,NA,Yes,Yes,No,3,NFS,1740,1x1,Crafting,,zen-style,garden,bamboo,None,Yes,Japanese Style,Not for sale,0_0,677
deer scare,https://acnhcdn.com/latest/FtrIcon/FtrShishiodoshi_Remake_1_0.png,Dried bamboo,Bamboo,NA,NA,Yes,Yes,No,3,NFS,1740,1x1,Crafting,,zen-style,garden,bamboo,None,Yes,Japanese Style,Not for sale,1_0,677
deer scare,https://acnhcdn.com/latest/FtrIcon/FtrShishiodoshi_Remake_2_0.png,Smoke-cured bamboo,Bamboo,NA,NA,Yes,Yes,No,3,NFS,1740,1x1,Crafting,,zen-style,garden,bamboo,None,Yes,Japanese Style,Not for sale,2_0,677
deluxe washer,https://acnhcdn.com/latest/FtrIcon/FtrWashingmachineDrum_Remake_0_0.png,White,NA,NA,NA,No,No,No,NA,76000,19000,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",bathroom,None,None,None,Yes,Home Appliances,For sale,0_0,1227
deluxe washer,https://acnhcdn.com/latest/FtrIcon/FtrWashingmachineDrum_Remake_1_0.png,Black,NA,NA,NA,No,No,No,NA,76000,19000,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",bathroom,None,None,None,Yes,Home Appliances,For sale,1_0,1227
deluxe washer,https://acnhcdn.com/latest/FtrIcon/FtrWashingmachineDrum_Remake_2_0.png,Blue,NA,NA,NA,No,No,No,NA,76000,19000,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",bathroom,None,None,None,Yes,Home Appliances,For sale,2_0,1227
deluxe washer,https://acnhcdn.com/latest/FtrIcon/FtrWashingmachineDrum_Remake_3_0.png,Red,NA,NA,NA,No,No,No,NA,76000,19000,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",bathroom,None,None,None,Yes,Home Appliances,For sale,3_0,1227
deluxe washer,https://acnhcdn.com/latest/FtrIcon/FtrWashingmachineDrum_Remake_4_0.png,Yellow,NA,NA,NA,No,No,No,NA,76000,19000,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",bathroom,None,None,None,Yes,Home Appliances,For sale,4_0,1227
deluxe washer,https://acnhcdn.com/latest/FtrIcon/FtrWashingmachineDrum_Remake_5_0.png,Pink,NA,NA,NA,No,No,No,NA,76000,19000,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",bathroom,None,None,None,Yes,Home Appliances,For sale,5_0,1227
den chair,https://acnhcdn.com/latest/FtrIcon/FtrDrawingChair_Remake_0_0.png,Black,NA,NA,NA,No,No,No,NA,8700,2175,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",den,None,None,den,Yes,Chair,For sale,0_0,3784
den chair,https://acnhcdn.com/latest/FtrIcon/FtrDrawingChair_Remake_1_0.png,White,NA,NA,NA,No,No,No,NA,8700,2175,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",den,None,None,den,Yes,Chair,For sale,1_0,3784
den chair,https://acnhcdn.com/latest/FtrIcon/FtrDrawingChair_Remake_2_0.png,Camel,NA,NA,NA,No,No,No,NA,8700,2175,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",den,None,None,den,Yes,Chair,For sale,2_0,3784
den chair,https://acnhcdn.com/latest/FtrIcon/FtrDrawingChair_Remake_3_0.png,Brown,NA,NA,NA,No,No,No,NA,8700,2175,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",den,None,None,den,Yes,Chair,For sale,3_0,3784
den chair,https://acnhcdn.com/latest/FtrIcon/FtrDrawingChair_Remake_4_0.png,Green,NA,NA,NA,No,No,No,NA,8700,2175,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",den,None,None,den,Yes,Chair,For sale,4_0,3784
den chair,https://acnhcdn.com/latest/FtrIcon/FtrDrawingChair_Remake_5_0.png,Red,NA,NA,NA,No,No,No,NA,8700,2175,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",den,None,None,den,Yes,Chair,For sale,5_0,3784
den desk,https://acnhcdn.com/latest/FtrIcon/FtrDrawingTable_Remake_0_0.png,Dark wood,NA,NA,NA,No,No,No,NA,10000,2500,2x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",den,None,None,den,No,Desk,For sale,0_0,3783
den desk,https://acnhcdn.com/latest/FtrIcon/FtrDrawingTable_Remake_1_0.png,Brown wood,NA,NA,NA,No,No,No,NA,10000,2500,2x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",den,None,None,den,No,Desk,For sale,1_0,3783
den desk,https://acnhcdn.com/latest/FtrIcon/FtrDrawingTable_Remake_2_0.png,Red wood,NA,NA,NA,No,No,No,NA,10000,2500,2x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",den,None,None,den,No,Desk,For sale,2_0,3783
den desk,https://acnhcdn.com/latest/FtrIcon/FtrDrawingTable_Remake_3_0.png,Natural wood,NA,NA,NA,No,No,No,NA,10000,2500,2x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",den,None,None,den,No,Desk,For sale,3_0,3783
den desk,https://acnhcdn.com/latest/FtrIcon/FtrDrawingTable_Remake_4_0.png,White,NA,NA,NA,No,No,No,NA,10000,2500,2x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",den,None,None,den,No,Desk,For sale,4_0,3783
destinations signpost,https://acnhcdn.com/latest/FtrIcon/FtrSignpostWorld_Remake_0_0.png,Natural,Color,NA,NA,Yes,Yes,No,2,NFS,1440,1.5x1.5,Crafting,,garden,None,None,None,No,Vehicle,Not for sale,0_0,4309
destinations signpost,https://acnhcdn.com/latest/FtrIcon/FtrSignpostWorld_Remake_1_0.png,White,Color,NA,NA,Yes,Yes,No,2,NFS,1440,1.5x1.5,Crafting,,garden,None,None,None,No,Vehicle,Not for sale,1_0,4309
destinations signpost,https://acnhcdn.com/latest/FtrIcon/FtrSignpostWorld_Remake_2_0.png,Black,Color,NA,NA,Yes,Yes,No,2,NFS,1440,1.5x1.5,Crafting,,garden,None,None,None,No,Vehicle,Not for sale,2_0,4309
destinations signpost,https://acnhcdn.com/latest/FtrIcon/FtrSignpostWorld_Remake_3_0.png,Colorful,Color,NA,NA,Yes,Yes,No,2,NFS,1440,1.5x1.5,Crafting,,garden,None,None,None,No,Vehicle,Not for sale,3_0,4309
destinations signpost,https://acnhcdn.com/latest/FtrIcon/FtrSignpostWorld_Remake_4_0.png,Marine,Color,NA,NA,Yes,Yes,No,2,NFS,1440,1.5x1.5,Crafting,,garden,None,None,None,No,Vehicle,Not for sale,4_0,4309
destinations signpost,https://acnhcdn.com/latest/FtrIcon/FtrSignpostWorld_Remake_5_0.png,Old,Color,NA,NA,Yes,Yes,No,2,NFS,1440,1.5x1.5,Crafting,,garden,None,None,None,No,Vehicle,Not for sale,5_0,4309
digital scale,https://acnhcdn.com/latest/FtrIcon/FtrWeightscale_Remake_0_0.png,White,NA,White,Design,No,No,Yes,1,930,232,1x1,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,bathroom,None,None,None,No,Bathroom Things,For sale,0_0,3307
digital scale,https://acnhcdn.com/latest/FtrIcon/FtrWeightscale_Remake_0_1.png,White,NA,Floral,Design,No,No,Yes,1,930,232,1x1,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,bathroom,None,None,None,No,Bathroom Things,For sale,0_1,3307
digital scale,https://acnhcdn.com/latest/FtrIcon/FtrWeightscale_Remake_0_2.png,White,NA,Polka dots,Design,No,No,Yes,1,930,232,1x1,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,bathroom,None,None,None,No,Bathroom Things,For sale,0_2,3307
digital scale,https://acnhcdn.com/latest/FtrIcon/FtrWeightscale_Remake_0_3.png,White,NA,Black stripes,Design,No,No,Yes,1,930,232,1x1,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,bathroom,None,None,None,No,Bathroom Things,For sale,0_3,3307
digital scale,https://acnhcdn.com/latest/FtrIcon/FtrWeightscale_Remake_0_4.png,White,NA,Wood,Design,No,No,Yes,1,930,232,1x1,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,bathroom,None,None,None,No,Bathroom Things,For sale,0_4,3307
digital scale,https://acnhcdn.com/latest/FtrIcon/FtrWeightscale_Remake_1_0.png,Black,NA,White,Design,No,No,Yes,1,930,232,1x1,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,bathroom,None,None,None,No,Bathroom Things,For sale,1_0,3307
digital scale,https://acnhcdn.com/latest/FtrIcon/FtrWeightscale_Remake_1_1.png,Black,NA,Floral,Design,No,No,Yes,1,930,232,1x1,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,bathroom,None,None,None,No,Bathroom Things,For sale,1_1,3307
digital scale,https://acnhcdn.com/latest/FtrIcon/FtrWeightscale_Remake_1_2.png,Black,NA,Polka dots,Design,No,No,Yes,1,930,232,1x1,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,bathroom,None,None,None,No,Bathroom Things,For sale,1_2,3307
digital scale,https://acnhcdn.com/latest/FtrIcon/FtrWeightscale_Remake_1_3.png,Black,NA,Black stripes,Design,No,No,Yes,1,930,232,1x1,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,bathroom,None,None,None,No,Bathroom Things,For sale,1_3,3307
digital scale,https://acnhcdn.com/latest/FtrIcon/FtrWeightscale_Remake_1_4.png,Black,NA,Wood,Design,No,No,Yes,1,930,232,1x1,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,bathroom,None,None,None,No,Bathroom Things,For sale,1_4,3307
digital scale,https://acnhcdn.com/latest/FtrIcon/FtrWeightscale_Remake_2_0.png,Red,NA,White,Design,No,No,Yes,1,930,232,1x1,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,bathroom,None,None,None,No,Bathroom Things,For sale,2_0,3307
digital scale,https://acnhcdn.com/latest/FtrIcon/FtrWeightscale_Remake_2_1.png,Red,NA,Floral,Design,No,No,Yes,1,930,232,1x1,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,bathroom,None,None,None,No,Bathroom Things,For sale,2_1,3307
digital scale,https://acnhcdn.com/latest/FtrIcon/FtrWeightscale_Remake_2_2.png,Red,NA,Polka dots,Design,No,No,Yes,1,930,232,1x1,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,bathroom,None,None,None,No,Bathroom Things,For sale,2_2,3307
digital scale,https://acnhcdn.com/latest/FtrIcon/FtrWeightscale_Remake_2_3.png,Red,NA,Black stripes,Design,No,No,Yes,1,930,232,1x1,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,bathroom,None,None,None,No,Bathroom Things,For sale,2_3,3307
digital scale,https://acnhcdn.com/latest/FtrIcon/FtrWeightscale_Remake_2_4.png,Red,NA,Wood,Design,No,No,Yes,1,930,232,1x1,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,bathroom,None,None,None,No,Bathroom Things,For sale,2_4,3307
digital scale,https://acnhcdn.com/latest/FtrIcon/FtrWeightscale_Remake_3_0.png,Blue,NA,White,Design,No,No,Yes,1,930,232,1x1,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,bathroom,None,None,None,No,Bathroom Things,For sale,3_0,3307
digital scale,https://acnhcdn.com/latest/FtrIcon/FtrWeightscale_Remake_3_1.png,Blue,NA,Floral,Design,No,No,Yes,1,930,232,1x1,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,bathroom,None,None,None,No,Bathroom Things,For sale,3_1,3307
digital scale,https://acnhcdn.com/latest/FtrIcon/FtrWeightscale_Remake_3_2.png,Blue,NA,Polka dots,Design,No,No,Yes,1,930,232,1x1,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,bathroom,None,None,None,No,Bathroom Things,For sale,3_2,3307
digital scale,https://acnhcdn.com/latest/FtrIcon/FtrWeightscale_Remake_3_3.png,Blue,NA,Black stripes,Design,No,No,Yes,1,930,232,1x1,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,bathroom,None,None,None,No,Bathroom Things,For sale,3_3,3307
digital scale,https://acnhcdn.com/latest/FtrIcon/FtrWeightscale_Remake_3_4.png,Blue,NA,Wood,Design,No,No,Yes,1,930,232,1x1,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,bathroom,None,None,None,No,Bathroom Things,For sale,3_4,3307
digital scale,https://acnhcdn.com/latest/FtrIcon/FtrWeightscale_Remake_4_0.png,Yellow,NA,White,Design,No,No,Yes,1,930,232,1x1,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,bathroom,None,None,None,No,Bathroom Things,For sale,4_0,3307
digital scale,https://acnhcdn.com/latest/FtrIcon/FtrWeightscale_Remake_4_1.png,Yellow,NA,Floral,Design,No,No,Yes,1,930,232,1x1,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,bathroom,None,None,None,No,Bathroom Things,For sale,4_1,3307
digital scale,https://acnhcdn.com/latest/FtrIcon/FtrWeightscale_Remake_4_2.png,Yellow,NA,Polka dots,Design,No,No,Yes,1,930,232,1x1,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,bathroom,None,None,None,No,Bathroom Things,For sale,4_2,3307
digital scale,https://acnhcdn.com/latest/FtrIcon/FtrWeightscale_Remake_4_3.png,Yellow,NA,Black stripes,Design,No,No,Yes,1,930,232,1x1,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,bathroom,None,None,None,No,Bathroom Things,For sale,4_3,3307
digital scale,https://acnhcdn.com/latest/FtrIcon/FtrWeightscale_Remake_4_4.png,Yellow,NA,Wood,Design,No,No,Yes,1,930,232,1x1,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,bathroom,None,None,None,No,Bathroom Things,For sale,4_4,3307
digital scale,https://acnhcdn.com/latest/FtrIcon/FtrWeightscale_Remake_5_0.png,Green,NA,White,Design,No,No,Yes,1,930,232,1x1,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,bathroom,None,None,None,No,Bathroom Things,For sale,5_0,3307
digital scale,https://acnhcdn.com/latest/FtrIcon/FtrWeightscale_Remake_5_1.png,Green,NA,Floral,Design,No,No,Yes,1,930,232,1x1,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,bathroom,None,None,None,No,Bathroom Things,For sale,5_1,3307
digital scale,https://acnhcdn.com/latest/FtrIcon/FtrWeightscale_Remake_5_2.png,Green,NA,Polka dots,Design,No,No,Yes,1,930,232,1x1,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,bathroom,None,None,None,No,Bathroom Things,For sale,5_2,3307
digital scale,https://acnhcdn.com/latest/FtrIcon/FtrWeightscale_Remake_5_3.png,Green,NA,Black stripes,Design,No,No,Yes,1,930,232,1x1,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,bathroom,None,None,None,No,Bathroom Things,For sale,5_3,3307
digital scale,https://acnhcdn.com/latest/FtrIcon/FtrWeightscale_Remake_5_4.png,Green,NA,Wood,Design,No,No,Yes,1,930,232,1x1,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,bathroom,None,None,None,No,Bathroom Things,For sale,5_4,3307
digital scale,https://acnhcdn.com/latest/FtrIcon/FtrWeightscale_Remake_6_0.png,Brown,NA,White,Design,No,No,Yes,1,930,232,1x1,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,bathroom,None,None,None,No,Bathroom Things,For sale,6_0,3307
digital scale,https://acnhcdn.com/latest/FtrIcon/FtrWeightscale_Remake_6_1.png,Brown,NA,Floral,Design,No,No,Yes,1,930,232,1x1,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,bathroom,None,None,None,No,Bathroom Things,For sale,6_1,3307
digital scale,https://acnhcdn.com/latest/FtrIcon/FtrWeightscale_Remake_6_2.png,Brown,NA,Polka dots,Design,No,No,Yes,1,930,232,1x1,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,bathroom,None,None,None,No,Bathroom Things,For sale,6_2,3307
digital scale,https://acnhcdn.com/latest/FtrIcon/FtrWeightscale_Remake_6_3.png,Brown,NA,Black stripes,Design,No,No,Yes,1,930,232,1x1,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,bathroom,None,None,None,No,Bathroom Things,For sale,6_3,3307
digital scale,https://acnhcdn.com/latest/FtrIcon/FtrWeightscale_Remake_6_4.png,Brown,NA,Wood,Design,No,No,Yes,1,930,232,1x1,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,bathroom,None,None,None,No,Bathroom Things,For sale,6_4,3307
