nameKor,Name,Image,VFX,DIY,Buy,Sell,Source,Source Notes,HHA Concept 1,HHA Concept 2,HHA Series,Tag,Catalog
파란 심플 카펫 바닥,simple blue flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorSimpleCarpet01.png,No,No,1500,375,Nook's Cranny,,den,living room,None,Simple Carpet,For sale
보라 심플 카펫 바닥,simple purple flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorSimpleCarpet03.png,No,No,1500,375,Nook's Cranny,,den,expensive,None,Simple Carpet,For sale
빨간 심플 카펫 바닥,simple red flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorSimpleCarpet00.png,No,No,1500,375,Nook's Cranny,,den,expensive,None,Simple Carpet,For sale
하얀 심플 카펫 바닥,simple white flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorSimpleCarpet04.png,No,No,1500,375,Nook's Cranny,,living room,shop,None,Simple Carpet,For sale
스키장 바닥,ski-slope flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorGelande00.png,No,Yes,NFS,3200,Crafting,,freezing cold,None,None,Nature - White,Not for sale
해골 바닥,skull-print flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorSkull00.png,No,No,3000,750,Nook's Cranny,,horror,child's room,None,Cloth Floors,For sale
마구 붙인 돌바닥,slate flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorSlate00.png,No,No,1380,345,Nook's Cranny,,facility,shop,None,Stone Floors,For sale
별빛 모래사장 바닥,starry-sands flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorSandStar00.png,No,Yes,NFS,7720,Crafting,,ocean,fancy,None,Nature - White,Not for sale
철판 바닥,steel flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorSteel00.png,No,Yes,NFS,5250,Crafting,,garage,facility,None,Iron,Not for sale
대리석 바닥,stone tile,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorMarble00.png,No,No,3000,750,Nook's Cranny,,expensive,facility,None,Stone Floors,For sale
스트라이프 바닥,stripe flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorStripe00.png,No,No,1200,300,Nook's Cranny,,living room,child's room,None,Cloth Floors,For sale
씨름판,sumo ring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorArena00.png,No,No,3000,750,Saharah,,fitness,zen-style,None,Sports Floor,Not for sale
진흙탕 바닥,swamp flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorBog00.png,No,No,3000,750,Saharah,,garden,horror,None,Nature - Brown,Not for sale
일본식 바닥,tatami,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorTatami00.png,No,No,2200,550,Nook's Cranny,,zen-style,living room,None,Tatami,For sale
일본식 돗자리 바닥,tatami flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorTatamiPanel00.png,No,No,2200,550,Nook's Cranny,,zen-style,living room,None,Tatami Panel,For sale
테라코타 타일 바닥,terra-cotta flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorTileTerracotta00.png,No,No,1800,450,Nook's Cranny,,facility,shop,None,Tile Floors,For sale
호랑이 카펫 바닥,tiger-print flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorAnimal03.png,No,No,1300,325,Nook's Cranny,,party,fancy,None,Animal Floor,For sale
승강장 바닥,train-station flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorPlatform00.png,No,No,3000,750,Saharah,,facility,None,None,Sidewalk,Not for sale
해저 바닥,underwater flooring,https://acnhcdn.com/latest/FtrIcon/RoomSpFloorFishTank00.png,Yes,Yes,NFS,6600,Crafting,,ocean,None,None,Special Nature Floors,Not for sale
수면 바닥,water flooring,https://acnhcdn.com/latest/FtrIcon/RoomSpFloorWater00.png,Yes,Yes,NFS,7200,Crafting,,ocean,None,None,Special Nature Floors,Not for sale
황야 바닥,western desert,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorWilderness00.png,No,No,3000,750,Saharah,,folk art,horror,None,Nature - Brown,Not for sale
하얀 육각 타일 바닥,white honeycomb tile,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorHoneycomb03.png,No,No,1420,355,Nook's Cranny,,bathroom,facility,None,Honeycomb,For sale
하얀 패턴 바닥,white iron-parquet flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorParquetIron03.png,No,No,2350,587,Nook's Cranny,,expensive,living room,None,Iron Parquet,For sale
하얀 모자이크 타일 바닥,white mosaic-tile flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorTile00.png,No,No,900,225,Nook's Cranny,,bathroom,facility,None,Tile Floors,For sale
하얀 웨딩 바닥,white wedding flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorMarbleTile00.png,,No,3000,750,Wedding Season,,party,expensive,wedding,Tile Floors,Not for sale
하얀 벽돌 바닥,white-brick flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorBrick00.png,No,No,1040,260,Nook's Cranny,,facility,shop,None,Brick,For sale
화이트 초콜릿 바닥,white-chocolates flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorChocolate01.png,No,No,3000,750,Saharah,,fancy,None,None,Chocolate,Not for sale
하얀 페인트 마룻바닥,white-paint flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorPaintWood03.png,No,No,1040,260,Nook's Cranny,,living room,child's room,None,Painted Wood,For sale
풀꽃 카펫 바닥,wildflower meadow,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorGrassland01.png,No,No,3000,750,Saharah,,garden,fancy,None,Grassland,Not for sale
옹이 무늬 마룻바닥,wooden-knot flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorCedar00.png,No,No,780,195,Nook's Cranny,,living room,child's room,None,Wood Floors,For sale
노란 꽃무늬 마룻바닥,yellow floral flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorDecoWood00.png,No,No,1520,380,Nook's Cranny,,shop,living room,None,Deco Wood,For sale
얼룩말 무늬 바닥,zebra-print flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorAnimal02.png,No,No,1300,325,Nook's Cranny,,party,fancy,None,Animal Floor,For sale
