nameKor,Name,Image,VFX,VFX Type,DIY,Buy,Sell,Source,Source Notes,Catalog,Window Type,Window Color,Pane Type,Curtain Type,Curtain Color,Ceiling Type,HHA Concept 1,HHA Concept 2,HHA Series,Tag
빙산 벽,iceberg wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallIceFloe00.png,No,NA,Yes,NFS,4000,Crafting,,Not for sale,None,NA,NA,None,NA,Stone,freezing cold,None,None,Neta Walls
왕조 벽,imperial wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallDynasty00.png,No,NA,No,3000,750,Saharah,,Not for sale,None,NA,NA,None,NA,Stone,expensive,None,None,Asia
팩토리 벽,industrial wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallFactory00.png,No,NA,No,3000,750,Saharah,,Not for sale,None,NA,NA,None,NA,Stone,facility,None,None,Iron Walls
덩굴 벽,ivy wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallIvy00.png,No,Synchro,No,3000,750,Saharah,,Not for sale,None,NA,NA,None,NA,Wood,facility,shop,None,Nature Walls
크리스마스 벽,Jingle wall,https://acnhcdn.com/latest/FtrIcon/RoomSpWallXmas00.png,Yes,NA,Yes,NFS,2500,Crafting,,Not for sale,None,NA,NA,None,NA,Stone,fancy,party,festive,Special Walls
정글 벽,jungle wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallJungle00.png,No,NA,Yes,NFS,1380,Crafting,,Not for sale,None,NA,NA,None,NA,Cloth,garden,facility,None,Nature Walls
입술 벽지,kisses wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallKiss00.png,No,Random,No,3000,750,Saharah,,Not for sale,Single Pane,White Metal,Glass,Slatted Blinds,White Plastic,Tile,party,fancy,None,Cloth Walls
연구실 벽,laboratory wall,https://acnhcdn.com/latest/FtrIcon/RoomSpWallLabo00.png,Yes,NA,No,3000,750,Saharah,,Not for sale,None,NA,NA,None,NA,Wood,facility,None,None,Special Inorganic Walls
오리엔탈 격자 벽,lattice wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallLattice00.png,No,Synchro,No,1780,445,Nook's Cranny,,For sale,None,NA,NA,None,NA,Stone,zen-style,shop,None,Asia
화산 동굴 벽,magma-cavern wall,https://acnhcdn.com/latest/FtrIcon/RoomSpWallVolcano00.png,Yes,NA,No,3000,750,Saharah,,Not for sale,None,NA,NA,None,NA,Cloth,horror,None,None,Special Warm Nature Walls
만화 도서관 벽,manga-library wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallLibrary01.png,No,NA,Yes,NFS,1050,Crafting,,Not for sale,None,NA,NA,None,NA,Plain,facility,den,None,Library Walls
맹그로브 벽,mangrove wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallMangrove00.png,No,NA,No,3000,750,Saharah,,Not for sale,None,NA,NA,None,NA,Wood,garden,None,None,Nature Walls
물고기 벽지,marine pop wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallFish00.png,No,Synchro,No,NFS,805,Fishing Tourney,,Not for sale,Four Pane,Grey Wood,Glass,Roller Shades,White,Plain,ocean,child's room,None,Cloth Walls
초원 벽,meadow vista,https://acnhcdn.com/latest/FtrIcon/RoomSpWallHighLands00.png,Yes,Random,No,3000,750,Saharah,,Not for sale,None,NA,NA,None,NA,Stone,garden,None,None,Special Cool Nature Walls
가랑비가 내리는 벽,misty-garden wall,https://acnhcdn.com/latest/FtrIcon/RoomSpWallRain00.png,Yes,NA,No,3000,585,Saharah,,Not for sale,None,NA,NA,None,NA,Cloth,garden,None,None,Special Cool Nature Walls
장난기 넘치는 벽지,mod wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallMod00.png,No,NA,No,1220,305,Nook's Cranny,,For sale,Four Pane,Natural Wood,Glass,Roller Shades,Undyed,Wood,party,None,None,Cloth Walls
모던 창호지 문 벽,modern shoji-screen wall,https://acnhcdn.com/latest/FtrIcon/RoomSpWallShojiModem00.png,Yes,NA,No,1150,287,Nook's Cranny,,For sale,None,NA,NA,None,NA,Wood,zen-style,shop,None,Japanese Style
모던 다도실 벽,modern tearoom wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallMud02.png,No,NA,No,1750,437,Nook's Cranny,,For sale,Circle,Dark Wood,Screen,None,NA,Stone,zen-style,shop,None,Tea Room Walls
믹스우드 벽,modern wood wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallMixwood00.png,No,NA,Yes,NFS,1800,Crafting,,Not for sale,Single Pane,Natural Wood,Glass,Slatted Blinds,Brown Wood,Wood,living room,child's room,None,Wood Walls
흑백 도트 벽지,monochromatic dotted wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallDot00.png,No,NA,No,1100,275,Nook's Cranny,,For sale,Four Pane,Dark Wood,Glass,Curtains,White,Stone,fancy,child's room,None,Dot
흑백 타일 벽,monochromatic-tile wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallTile00.png,No,NA,No,1420,355,Nook's Cranny,,For sale,Single Pane,White Metal,Glass,Slatted Blinds,White Plastic,Stone,bathroom,facility,None,Tile Walls
기와 돌담 벽,mortar wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallPlaster00.png,No,NA,No,3000,750,Saharah,,Not for sale,None,NA,NA,None,NA,Stone,zen-style,None,None,Stone Walls
아트 모자이크 타일 벽,mosaic-tile wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallMosaicTile00.png,No,NA,No,1450,362,Nook's Cranny,,For sale,Four Pane,Grey Wood,Glass,Roller Shades,White,Stone,bathroom,facility,None,Tile Walls
이끼 낀 벽,mossy-garden wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallMoss00.png,No,NA,No,3000,750,Saharah,,Not for sale,None,NA,NA,None,NA,Cloth,zen-style,None,None,Nature Walls
버섯 벽지,mush wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallMush00.png,No,NA,Yes,NFS,21400,Crafting,,Not for sale,Four Pane,White Wood,Glass,Roller Shades,Undyed,Wood,fancy,None,mush,Cloth Walls
Nook Inc. 벽지,Nook Inc. wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallFirst00.png,No,NA,No,NFS,6000,Nook Miles Shop,,Not for sale,Four Pane,Dark Wood,Glass,Curtains,White,Plain,fancy,shop,None,Cloth Walls
수평선 벽,ocean-horizon wall,https://acnhcdn.com/latest/FtrIcon/RoomSpWallHorizon00.png,Yes,Synchro,No,3000,750,Saharah,,Not for sale,None,NA,NA,None,NA,Tile,ocean,None,None,Special Cool Nature Walls
오피스 벽,office wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallOffice00.png,No,NA,No,3000,750,Saharah,,Not for sale,None,NA,NA,None,NA,Wood,office,None,None,Special Walls
낡은 벽지,old wallpaper,https://acnhcdn.com/latest/FtrIcon/RoomTexWallOld00.png,No,NA,No,200,50,Nook's Cranny,,For sale,Four Pane,White Wood,Glass,None,NA,Stone,horror,None,None,Cloth Walls
옐로그린 모로칸 타일 벽,olive desert-tile wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallMorocco03.png,No,NA,No,2440,610,Nook's Cranny,,For sale,Sliding Pane,White Metal,Glass,None,NA,Cloth,bathroom,facility,None,Morocco
오렌지 밀리터리 벽지,orange camo wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallCamouflage03.png,No,NA,No,1150,287,Nook's Cranny,,For sale,Single Pane,Grey Wood,Glass,Slatted Blinds,White Plastic,Cloth,party,child's room,None,Camouflage
오렌지 패널 몰드 벽,orange molded-panel wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallPanelMold00.png,No,NA,No,1980,495,Nook's Cranny,,For sale,Sliding Pane,White Metal,Glass,None,NA,Cloth,fancy,child's room,None,Panel Mold Walls
오렌지 벽지,orange wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallOrange00.png,No,NA,Yes,NFS,4000,Crafting,,Not for sale,Four Pane,Grey Wood,Glass,Roller Shades,White,Stone,fancy,child's room,fruits,Fruit Walls
오렌지색 페인트 벽,orange-paint wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallStucco01.png,No,NA,No,1600,400,Nook's Cranny,,For sale,Four Pane,Natural Wood,Glass,None,NA,Stone,fancy,child's room,None,Stucco Walls
아틀리에 벽,paintball wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallAtelier00.png,No,NA,No,3000,750,Saharah,,Not for sale,Single Pane,Grey Metal,Glass,Slatted Blinds,Aluminium,Stone,garage,facility,None,Stone Walls
궁전 벽,palace wall,https://acnhcdn.com/latest/FtrIcon/RoomSpWallPalace00.png,Yes,NA,No,3000,750,Saharah,,Not for sale,None,NA,NA,None,NA,Cloth,expensive,folk art,None,Special Inorganic Walls
파티 벽지,party wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallParty00.png,No,NA,No,NFS,370,Birthday,,Not for sale,Four Pane,Dark Wood,Glass,Roller Shades,White,Wood,party,fancy,None,Cloth Walls
파스텔 도트 벽지,pastel dotted wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallDot01.png,No,NA,No,1100,275,Nook's Cranny,,For sale,Four Pane,Dark Wood,Glass,Curtains,White,Cloth,fancy,child's room,None,Dot
파스텔 퍼즐 벽지,pastel puzzle wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallPuzzle00.png,No,NA,No,1540,385,Nook's Cranny,,For sale,Single Pane,White Metal,Glass,Slatted Blinds,White Plastic,Stone,fancy,child's room,None,Puzzle Walls
분홍 투톤 타일 벽,peach two-toned tile wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallTwoToneTile04.png,No,NA,No,1850,462,Nook's Cranny,,For sale,Sliding Pane,White Metal,Glass,None,NA,Cloth,bathroom,facility,None,Two-Tone Tile Walls
복숭아 벽지,peach wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallPeach00.png,No,NA,Yes,NFS,4000,Crafting,,Not for sale,Four Pane,Grey Wood,Glass,Roller Shades,White,Cloth,fancy,child's room,fruits,Fruit Walls
배 벽지,pear wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallPear00.png,No,NA,Yes,NFS,4000,Crafting,,Not for sale,Four Pane,Grey Wood,Glass,Roller Shades,White,Tile,fancy,child's room,fruits,Fruit Walls
펀칭 보드 벽,perforated-board wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallPegboard01.png,No,NA,No,1180,295,Nook's Cranny,,For sale,None,NA,NA,None,NA,Wood,music,facility,None,Pegboard Walls
핑크 풀꽃 벽,pink blossoming wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallCountry01.png,No,NA,No,1760,440,Nook's Cranny,,For sale,Four Pane,Dark Wood,Glass,Curtains,Red Checkered,Stone,fancy,living room,None,Country
분홍 다이너 벽,pink diner wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallDiner01.png,No,NA,No,2420,605,Nook's Cranny,,For sale,Single Pane,White Metal,Glass,Slatted Blinds,White Plastic,Wood,fancy,shop,None,Diner Walls
핑크 꽃무늬 벽지,pink flower-print wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallFlower00.png,No,NA,No,1780,445,Nook's Cranny,,For sale,Four Pane,Natural Wood,Glass,Curtains,Pink,Cloth,fancy,living room,None,Flower Walls
핑크 하트 벽지,pink heart-pattern wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallHeart01.png,No,NA,No,1280,320,Nook's Cranny,,For sale,Four Pane,White Wood,Glass,Roller Shades,White,Wood,fancy,child's room,None,Heart Walls
핑크 페인트 우드 벽,pink painted-wood wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallPaintWood02.png,No,NA,No,1650,412,Nook's Cranny,,For sale,Four Pane,White Wood,Glass,None,NA,Cloth,fancy,child's room,None,Painted Wood
핑크 놀이방 벽지,pink playroom wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallToy01.png,No,NA,No,2540,635,Nook's Cranny,,For sale,Sliding Pane,White Metal,Glass,None,NA,Cloth,child's room,fancy,None,Toy Walls
핑크 퀼트 벽,pink quilt wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallDollhouse00.png,No,NA,No,2150,537,Nook's Cranny,,For sale,Four Pane,White Wood,Glass,Curtains,White Lace,Stone,fancy,child's room,None,Dollhouse Walls
핑크 강판 벽,pink shanty wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallTin01.png,No,NA,No,620,155,Nook's Cranny,,For sale,Single Pane,Grey Wood,Glass,Slatted Blinds,White Plastic,Wood,garage,None,None,Tin Walls
핑크 심플 벽지,pink simple-cloth wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallSimple02.png,No,NA,No,750,187,Nook's Cranny,,For sale,Four Pane,White Wood,Glass,Curtains,White,Tile,child's room,living room,None,Simple Walls
핑크 왕관 벽지,pink-crown wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallCrown02.png,No,NA,No,2350,587,Nook's Cranny,,For sale,None,NA,NA,None,NA,Cloth,fancy,expensive,None,Crown Walls
핑크 줄무늬 벽지,pink-striped wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallStripe01.png,No,NA,No,1520,380,Nook's Cranny,,For sale,Four Pane,White Wood,Glass,Roller Shades,White,Cloth,fancy,child's room,None,Stripe Walls
퍼플 밀리터리 벽지,purple camo wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallCamouflage02.png,No,NA,No,1150,287,Nook's Cranny,,For sale,Single Pane,White Metal,Glass,Slatted Blinds,White Plastic,Stone,party,child's room,None,Camouflage
퍼플 모로칸 타일 벽,purple desert-tile wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallMorocco02.png,No,NA,No,2440,610,Nook's Cranny,,For sale,Sliding Pane,White Metal,Glass,None,NA,Wood,bathroom,facility,None,Morocco
퍼플 도트 벽지,purple dotted wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallDot04.png,No,NA,No,1100,275,Nook's Cranny,,For sale,Four Pane,Natural Wood,Glass,Curtains,White,Cloth,fancy,child's room,None,Dot
퍼플 퍼즐 벽지,purple puzzle wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallPuzzle03.png,No,NA,No,1540,385,Nook's Cranny,,For sale,Single Pane,White Metal,Glass,Slatted Blinds,White Plastic,Cloth,None,None,None,Puzzle Walls
퍼플 퀼트 벽,purple quilt wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallDollhouse03.png,No,NA,No,2150,537,Nook's Cranny,,For sale,Four Pane,White Wood,Glass,Curtains,White Lace,Wood,fancy,child's room,None,Dollhouse Walls
보라 장미 벽지,purple-rose wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallRose01.png,No,NA,No,1720,430,Nook's Cranny,,For sale,Arch,Grey Metal,Glass,None,NA,Stone,fancy,None,None,Rose Walls
층층이 쌓은 토벽,rammed-earth wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallHanchiku00.png,No,NA,No,1800,450,Nook's Cranny,,For sale,None,NA,NA,None,NA,Stone,folk art,None,None,Stone Walls
폐허 벽,ramshackle wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallRuins00.png,No,NA,No,3000,750,Saharah,,Not for sale,Four Pane,Dark Wood,Glass,None,NA,Wood,horror,None,None,Stone Walls
레드 아르데코풍 벽,red art-deco wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallArtDeco01.png,No,NA,No,2780,695,Nook's Cranny,,For sale,Arch,Grey Metal,Glass,None,NA,Wood,child's room,living room,None,Art Deco Walls
빨간 잔꽃무늬 벽지,red delicate-blooms wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallManor01.png,No,NA,No,1900,475,Nook's Cranny,,For sale,Four Pane,Dark Wood,Glass,Roller Shades,Undyed,Wood,expensive,living room,None,Manor Walls
레드 도트 벽지,red dotted wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallDot02.png,No,NA,No,1100,275,Nook's Cranny,,For sale,Four Pane,White Wood,Glass,Curtains,White,Cloth,fancy,child's room,None,Dot
레드 하트 벽지,red heart-pattern wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallHeart03.png,No,NA,No,1280,320,Nook's Cranny,,For sale,Four Pane,White Wood,Glass,Roller Shades,White,Wood,fancy,child's room,None,Heart Walls
빨간 텍스타일 벽,red intricate wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallFlowerPop03.png,No,NA,No,1570,392,Nook's Cranny,,For sale,Four Pane,Grey Wood,Glass,Roller Shades,White,Tile,living room,shop,None,Flower Pop Walls
빨간 펀칭 보드 벽,red perforated-board wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallPegboard03.png,No,NA,No,1180,295,Nook's Cranny,,For sale,None,NA,NA,None,NA,Stone,music,facility,None,Pegboard Walls
빨간 투톤 타일 벽,red two-toned tile wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallTwoToneTile03.png,No,NA,No,1850,462,Nook's Cranny,,For sale,Sliding Pane,White Metal,Glass,None,NA,Wood,bathroom,facility,None,Two-Tone Tile Walls
빨간 벽돌 벽,red-brick wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallBrick01.png,No,NA,No,1000,250,Nook's Cranny,,For sale,Four Pane,Dark Wood,Glass,None,NA,Wood,facility,shop,None,Brick
복고풍 꽃무늬 벽지,retro flower-print wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallKitsch00.png,No,NA,No,1660,415,Nook's Cranny,,For sale,Four Pane,White Wood,Glass,Curtains,White Lace,Plain,fancy,living room,None,Cloth Walls
전원 풍경 벽,rice-paddy wall,https://acnhcdn.com/latest/FtrIcon/RoomSpWallFarm00.png,Yes,Synchro,No,3000,750,Saharah,,Not for sale,None,NA,NA,None,NA,Plain,garden,None,None,Special Cool Nature Walls
레슬링 경기장 벽,ringside seating,https://acnhcdn.com/latest/FtrIcon/RoomSpWallWrestling00.png,Yes,NA,No,3000,750,Saharah,,Not for sale,None,NA,NA,None,NA,Stone,fitness,None,None,Special Walls
암벽 등반 벽,rock-climbing wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallBouldering00.png,No,NA,No,3000,750,Saharah,,Not for sale,None,NA,NA,None,NA,Wood,fitness,None,None,Neta Walls
장미 벽지,rose wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallRose00.png,No,NA,No,1720,430,Nook's Cranny,,For sale,Arch,Wood,Glass,None,NA,Stone,fancy,None,None,Rose Walls
유적 벽,ruins wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallRemains00.png,No,NA,No,3000,750,Saharah,,Not for sale,None,NA,NA,None,NA,Stone,horror,folk art,None,Nature Walls
마구 붙인 돌 벽,rustic-stone wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallStone00.png,No,NA,Yes,NFS,1750,Crafting,,Not for sale,Four Pane,Dark Wood,Glass,None,NA,Wood,facility,shop,None,Stone Walls
벚꽃색 우드 벽,sakura-wood wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallSolidWood00.png,No,NA,Yes,NFS,3200,Crafting,,Not for sale,Four Pane,Grey Wood,Glass,Curtains,Pink,Tile,child's room,fancy,cherry blossoms,Wood Walls
우주선 벽,sci-fi wall,https://acnhcdn.com/latest/FtrIcon/RoomSpWallSF00.png,Yes,Random,Yes,NFS,7500,Crafting,,Not for sale,None,NA,NA,None,NA,Wood,space,facility,None,Special Inorganic Walls
미닫이 문 벽,screen wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallFusuma00.png,No,NA,No,3000,750,Nook's Cranny,,For sale,None,NA,NA,None,NA,Plain,zen-style,facility,None,Japanese Style
바다 벽,sea view,https://acnhcdn.com/latest/FtrIcon/RoomSpWallSeaView00.png,Yes,Synchro,No,3000,750,Saharah,,Not for sale,None,NA,NA,None,NA,Tile,ocean,None,None,Special Cool Nature Walls
모니터 룸 벽,security-monitors wall,https://acnhcdn.com/latest/FtrIcon/RoomSpWallMonitor00.png,Yes,Random,No,3000,750,Saharah,,Not for sale,None,NA,NA,None,NA,Cloth,facility,None,None,Special Inorganic Walls
세피아 퍼즐 벽지,sepia puzzle wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallPuzzle02.png,No,NA,No,1540,385,Nook's Cranny,,For sale,Single Pane,White Metal,Glass,Slatted Blinds,White Plastic,Tile,fancy,child's room,None,Puzzle Walls
서버실 벽,server-room wall,https://acnhcdn.com/latest/FtrIcon/RoomSpWallServer00.png,Yes,Random,No,3000,750,Saharah,,Not for sale,None,NA,NA,None,NA,Wood,facility,None,None,Special Inorganic Walls
창호지 문 벽,shoji screen,https://acnhcdn.com/latest/FtrIcon/RoomSpWallShoji00.png,Yes,NA,No,1880,470,Nook's Cranny,,For sale,None,NA,NA,None,NA,Stone,zen-style,None,None,Japanese Style
닫힌 셔터 벽,shutter wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallShutter00.png,No,NA,No,3000,750,Saharah,,Not for sale,None,NA,NA,None,NA,Plain,facility,shop,None,Iron Walls
스키장 벽,ski-slope wall,https://acnhcdn.com/latest/FtrIcon/RoomSpWallGelande00.png,Yes,Synchro,Yes,NFS,3200,Crafting,,Not for sale,None,NA,NA,None,NA,Cloth,freezing cold,None,None,Special Cool Nature Walls
해골 벽지,skull wall,https://acnhcdn.com/latest/FtrIcon/RoomSpWallSkull00.png,Yes,LightOff,No,3000,750,Nook's Cranny,,For sale,Single Pane,Black Metal,Glass,Slatted Blinds,Black Plastic,Plain,horror,child's room,None,Special Inorganic Walls
구름 위 벽,sky wall,https://acnhcdn.com/latest/FtrIcon/RoomSpWallCloud00.png,Yes,Synchro,No,3000,750,Saharah,,Not for sale,None,NA,NA,None,NA,Stone,fancy,None,None,Special Cool Nature Walls
마천루 벽,skyscraper wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallSkyscraper00.png,No,NA,No,3000,750,Saharah,,Not for sale,None,NA,NA,None,NA,Cloth,expensive,None,None,Neta Walls
눈꽃 벽지,snowflake wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallSnowCrystal00.png,No,NA,Yes,NFS,4800,Crafting,,Not for sale,Four Pane,Grey Wood,Glass,Roller Shades,White,Wood,freezing cold,None,None,Cloth Walls
차분한 다도실 벽,soothing tearoom wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallMud01.png,No,NA,No,1750,437,Nook's Cranny,,For sale,Circle,Natural Wood,Screen,None,NA,Wood,zen-style,shop,None,Tea Room Walls
장작더미 벽,stacked-wood wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallFireWood00.png,No,NA,Yes,NFS,1800,Crafting,,Not for sale,None,NA,NA,None,NA,Plain,garage,facility,None,Wood Walls
스타디움 벽,stadium wall,https://acnhcdn.com/latest/FtrIcon/RoomSpWallStadium00.png,Yes,NA,No,3000,750,Saharah,,Not for sale,None,NA,NA,None,NA,Wood,fitness,None,None,Special Cool Nature Walls
평범한 다도실 벽,standard tearoom wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallMud00.png,No,NA,No,1750,437,Nook's Cranny,,For sale,Circle,Natural Wood,Screen,None,NA,Cloth,zen-style,None,None,Tea Room Walls
별 무늬 벽지,starry wall,https://acnhcdn.com/latest/FtrIcon/RoomSpWallStarPrint00.png,Yes,LightOff,Yes,NFS,7500,Crafting,,Not for sale,Four Pane,White Wood,Glass,Roller Shades,White,Plain,fancy,child's room,None,Special Cool Nature Walls
별이 빛나는 벽,starry-sky wall,https://acnhcdn.com/latest/FtrIcon/RoomSpWallStarSky00.png,Yes,NA,Yes,NFS,7500,Crafting,,Not for sale,None,NA,NA,None,NA,Stone,space,None,stars,Special Cool Nature Walls
르네상스풍 벽,stately wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallRenaissance00.png,No,NA,No,2450,612,Nook's Cranny,,For sale,None,NA,NA,None,NA,Stone,expensive,None,None,Asia
철근 벽,steel-frame wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallSteel00.png,No,NA,Yes,NFS,6000,Crafting,,Not for sale,None,NA,NA,None,NA,Stone,garage,facility,None,Iron Walls
돌담 벽,stone wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallBasement00.png,No,NA,Yes,NFS,1500,Crafting,,Not for sale,None,NA,NA,None,NA,Plain,horror,facility,None,Stone Walls
폭풍우 벽,stormy-night wall,https://acnhcdn.com/latest/FtrIcon/RoomSpWallThunder00.png,Yes,Random,No,3000,750,Saharah,,Not for sale,None,NA,NA,None,NA,Stone,horror,None,None,Special Warm Nature Walls
밀짚 벽,straw wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallStraw00.png,No,NA,No,3000,750,Saharah,,Not for sale,None,NA,NA,None,NA,Tile,folk art,None,None,Wood Walls
딸기 초콜릿 벽,strawberry-chocolate wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallChocolate02.png,No,NA,No,3000,750,Saharah,,Not for sale,None,NA,NA,None,NA,Stone,fancy,None,None,Chocolate
그래피티 벽,street-art wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallStreetArt00.png,No,NA,No,3000,750,Saharah,,Not for sale,None,NA,NA,None,NA,Plain,garage,None,None,Neta Walls
산 정상 벽,summit wall,https://acnhcdn.com/latest/FtrIcon/RoomSpWallMountainTop00.png,Yes,Synchro,No,3000,750,Saharah,,Not for sale,None,NA,NA,None,NA,Stone,garden,None,None,Special Cool Nature Walls
가로수 벽,tree-lined wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallRoadsideTree00.png,No,NA,No,3000,750,Saharah,,Not for sale,None,NA,NA,None,NA,Plain,garden,None,None,Nature Walls
남쪽 해변 벽,tropical vista,https://acnhcdn.com/latest/FtrIcon/RoomSpWallTropical00.png,Yes,Synchro,Yes,NFS,6000,Crafting,,Not for sale,None,NA,NA,None,NA,Plain,ocean,None,None,Special Cool Nature Walls
바닷속 벽,underwater wall,https://acnhcdn.com/latest/FtrIcon/RoomSpWallFishTank00.png,Yes,Synchro,Yes,NFS,8600,Crafting,,Not for sale,None,NA,NA,None,NA,Stone,ocean,None,None,Special Cool Nature Walls
웨이브 타일 벽,wavy-tile wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallWaveTile00.png,No,NA,No,1740,435,Nook's Cranny,,For sale,None,NA,NA,None,NA,Plain,shop,facility,None,Tile Walls
웨딩 파티 벽,wedding-party wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallJuneBride00.png,No,NA,No,1750,437.5,Wedding Season,,Not for sale,None,NA,NA,None,NA,Stone,party,expensive,wedding,Cloth Walls
황야 벽,western vista,https://acnhcdn.com/latest/FtrIcon/RoomSpWallWilderness00.png,Yes,Synchro,No,3000,750,Saharah,,Not for sale,None,NA,NA,None,NA,Stone,folk art,horror,None,Special Cool Nature Walls
화이트 보태니컬 타일 벽,white botanical-tile wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallWoodTile00.png,No,NA,No,1240,310,Nook's Cranny,,For sale,Single Pane,White Wood,Glass,Slatted Blinds,White Plastic,Wood,facility,expensive,None,Wood Tile Walls
하얀 잔꽃무늬 벽지,white delicate-blooms wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallManor00.png,No,NA,No,1900,475,Nook's Cranny,,For sale,Four Pane,Dark Wood,Glass,Roller Shades,Undyed,Wood,expensive,living room,None,Manor Walls
하얀 홀 벽,white hallway wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallHall02.png,No,NA,No,2000,500,Nook's Cranny,,For sale,None,NA,NA,None,NA,Stone,facility,music,None,Hall Walls
하얀 육각 타일 벽,white honeycomb-tile wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallHoneycomb03.png,No,NA,No,1680,420,Nook's Cranny,,For sale,Sliding Pane,White Metal,Glass,None,NA,Wood,bathroom,facility,None,Honeycomb
