id,Version,English,English (Europe),German,Spanish,Spanish (US),French,French (US),Italian,Dutch,Chinese,Chinese (Traditional),Japanese,Korean,Russian
1065,1.0.0,tweed cap,tweed cap,Tweedmütze,gorra de tweed,gorra de tweed,casquette en tweed,casquette en tweed,berretto di tweed,tweedpet,粗花呢帽,斜紋軟呢帽,ツイードキャップ,트위드 모자,твидовая кепка
1105,1.0.0,floral hairpin,floral hairpin,Blumenhaarspange,clip flor,clip flor,épingle fleurie,épingle fleurie,molletta floreale,bloemenhaarspeld,花朵发夹,花朵髮夾,おはなのヘアピン,꽃 머리핀,шпилька с цветком
1106,1.0.0,heart hairpin,heart hairpin,Herzhaarnadel,clip corazón,clip corazón,épingle cœur,épingle cœur,molletta cuore,hartenhaarspeld,爱心发夹,愛心髮飾,ハートのかみかざり,하트 머리핀,шпилька с сердечком
1107,1.0.0,star hairpin,star hairpin,Sternhaarnadel,clip estrella,clip estrella,épingle étoile,épingle étoile,molletta stella,sterrenhaarspeld,星星发夹,星星髮飾,ほしのかみかざり,별 머리핀,шпилька со звездой
1111,1.0.0,barrette,barrette,Haarspange,pasador,pasador,barrette,barrette,barretta per capelli,haarspeldje,发夹,髮夾,バレッタ,바레트,цветочная заколка
1112,1.0.0,giant ribbon,giant ribbon,Riesenschleifchen,maxilazo,maxilazo,ruban géant,ruban géant,fiocco gigante,grote strik,大蝴蝶结,大蝴蝶結,おおきなリボン,커다란 리본,огромный бант
1114,1.0.0,skateboarding helmet,skateboarding helmet,Skateboard-Helm,casco para patinete,casco de skateboard,casque de skateboard,casque de skateboard,casco da skateboard,skatehelm,滑板头盔,滑板安全帽,スケボーヘルメット,스케이트 보드 헬멧,шлем для скейтбординга
1115,1.0.0,Aran-knit cap,Aran-knit cap,Aranmustermütze,gorro de punto trenzado,gorro tejido trenzado,bonnet tricoté Aran,bonnet tricoté Aran,berretto Aran,Aran-muts,手编阿伦花样针织帽,手編阿倫花樣針織帽,アランニットぼう,아란 니트 모자,шапка аранской вязки
1117,1.0.0,lettered cap,lettered cap,Schriftzug-Mütze,gorra serigrafiada,gorra serigrafiada,casquette à message,casquette à message,cappello con scritta,pet met tekst,文字帽,文字帽,もじキャップ,글자 모자,кепка с текстом
1119,1.0.0,ribboned garden hat,ribboned garden hat,Schleifchen-Strohhut,sombrero de paja con lazo,sombrero de paja con lazo,chapeau de jardin à ruban,chapeau de jardin à ruban,paglietta con nastrino,tuinhoed met strik,带蝴蝶结草帽,蝴蝶結草帽,リボンつきむぎわらぼうし,리본 밀짚모자,летняя шляпа с лентой
1121,1.0.0,patchwork tulip hat,patchwork tulip hat,Patchwork-Sommerhut,gorro de patchwork,gorro de retazos,chapeau tulipe patchwork,chapeau tulipe patchwork,cappello tulipano patchwork,patchworkhoed,拼布郁金香帽,拼布鬱金香帽,パッチワークのチューリップぼう,패치워크 튤립 모자,панама из пэтчворка
1122,1.0.0,apple hat,apple hat,Apfelhut,gorro manzana,gorro manzana,chapeau pomme,chapeau pomme,berretto mela,appelmuts,苹果帽子,蘋果帽子,リンゴのぼうし,사과 모자,шапка-яблоко
1123,1.0.0,pear hat,pear hat,Birnenhut,gorro pera,gorro pera,chapeau poire,chapeau poire,berretto pera,perenmuts,梨子帽子,梨子帽子,ナシのぼうし,배 모자,шапка-груша
1124,1.0.0,cherry hat,cherry hat,Kirschhut,gorro cerezas,gorro cerezas,chapeau cerise,chapeau cerise,berretto ciliegia,kersenmuts,樱桃帽子,櫻桃帽子,さくらんぼのぼうし,체리 모자,шапка-вишня
1125,1.0.0,peach hat,peach hat,Pfirsichhut,gorro melocotón,gorro durazno,chapeau pêche,chapeau pêche,berretto pesca,perzikmuts,桃子帽子,桃子帽子,モモのぼうし,복숭아 모자,шапка-персик
1131,1.0.0,Labelle cap,Labelle cap,Samthea-Mütze,gorra Trini,gorra Trini,casquette Maria,casquette Maria,berretto Bice,Labelle-pet,凯丝的棒球帽,凱絲鴨舌帽,ケイトのキャップ,케이트의 야구 모자,кепка «Лэйблеск»
1132,1.0.0,Labelle hat,Labelle hat,Samthea-Hut,pamela Trini,sombrero Trini,chapeau Maria,chapeau Maria,cappello Bice,Labelle-hoed,凯丝的帽子,凱絲帽子,ケイトのぼうし,케이트의 모자,шляпа «Лэйблеск»
1142,1.0.0,Nook Inc. cap,Nook Inc. cap,Nook-Inc.-Kappe,gorra de Nook Inc.,gorra de Nook Inc.,casquette Nook Inc.,casquette Nook Inc.,cappello Nook Inc.,Nook Inc.-pet,Nook Inc.帽子,Nook Inc.帽,たぬきかいはつキャップ,Nook Inc. 야구 모자,кепка Nook Inc.
1143,1.0.0,Nook Inc. bandanna,Nook Inc. bandanna,Nook-Inc.-Kopftuch,pañuelo de Nook Inc.,pañuelo de Nook Inc.,bandana Nook Inc.,bandana Nook Inc.,bandana Nook Inc.,Nook Inc.-bandana,Nook Inc.头巾,Nook Inc.頭巾,たぬきかいはつバンダナ,Nook Inc. 반다나,бандана Nook Inc.
1147,1.0.0,rain hat,rain hat,Regen-Schülerhut,gorro impermeable,gorro impermeable,chapeau de pluie,chapeau de pluie,cappello da pioggia,regenhoed,雨帽,雨衣帽,レインハット,우비 모자,дождевая шапка
1153,1.0.0,tropical hat,tropical hat,Ananas-Outdoor-Hut,sombrero aloha piñas,sombrero aloha piñas,chapeau tropical,chapeau tropical,cappello tropicale,ananas-hawaïhoed,凤梨图案户外帽,鳳梨圖案戶外帽,パインがらアウトドアハット,파인애플 아웃도어 모자,тропическая шляпа
1163,1.0.0,tubeteika,tubeteika,Tjubetejka,tubeteika,tubeteika,tubeteika,tubeteika,tubeteika,tubeteka,乌兹别克帽,烏茲別克帽子,ウズベクなぼうし,우즈베키스탄풍 모자,тюбетейка
1164,1.0.0,matanpushi,matanpushi,Matanpushi,matanpushi,matanpushi,matanpushi,matanpushi,matanpushi,matanpushi,阿伊努头巾,阿伊努族頭巾,マタンプシ,아이누족 두건,повязка айнов
1186,1.0.0,DAL cap,DAL cap,DAL-Kappe,gorra de DAL,gorra de DAL,casquette Dodo Airlines,casquette Dodo Airlines,cappello DAL,DAL-pet,DAL帽子,DAL帽,ＤＡＬキャップ,DAL 야구 모자,кепка DAL
1192,1.1.0,OK Motors cap,OK Motors cap,OK-Motors-Mütze,gorra de OK Motors,gorra de OK Motors,casquette OK Motors,casquette OK Motors,cappello OK Motors,OK Motors-pet,OK车业帽,OK車業帽,OKモータースのキャップ,OK 모터즈 캡,кепка OK Motors
1195,1.1.0,earth-egg shell,earth-egg shell,Erd-Eierschale,cáscara de huevo terrestre,cáscara de huevo terrestre,coquille d'œuf terrestre,coquille d'œuf terrestre,guscio d'uovo terrestre,aarde-eierschaal,地面蛋壳,地面蛋殼,じめんのたまごのから,땅 달걀 껍질,скорлупа земляного яйца
1196,1.1.0,stone-egg shell,stone-egg shell,Fels-Eierschale,cáscara de huevo rupestre,cáscara de huevo rupestre,coquille d'œuf minéral,coquille d'œuf minéral,guscio d'uovo roccioso,steeneierschaal,岩石蛋壳,岩石蛋殼,いわのたまごのから,바위 달걀 껍질,скорлупа каменного яйца
1197,1.1.0,leaf-egg shell,leaf-egg shell,Laub-Eierschale,cáscara de huevo boscoso,cáscara de huevo boscoso,coquille d'œuf feuillu,coquille d'œuf feuillu,guscio d'uovo frondoso,bladeierschaal,叶子蛋壳,葉子蛋殼,はっぱのたまごのから,나뭇잎 달걀 껍질,скорлупа листвен. яйца
1198,1.1.0,wood-egg shell,wood-egg shell,Holz-Eierschale,cáscara de huevo leñoso,cáscara de huevo leñoso,coquille d'œuf boisé,coquille d'œuf boisé,guscio d'uovo boscoso,houteierschaal,森林蛋壳,森林蛋殼,ウッディなたまごのから,나무 달걀 껍질,скорлупа лесного яйца
1199,1.1.0,sky-egg shell,sky-egg shell,Luft-Eierschale,cáscara de huevo celeste,cáscara de huevo celeste,coquille d'œuf aérien,coquille d'œuf aérien,guscio d'uovo celeste,luchteierschaal,飞天蛋壳,飛天蛋殼,そらとぶたまごのから,하늘을 나는 달걀 껍질,скорлупа небесного яйца
1200,1.0.0,water-egg shell,water-egg shell,Wasser-Eierschale,cáscara de huevo acuático,cáscara de huevo acuático,coquille d'œuf aquatique,coquille d'œuf aquatique,guscio d'uovo acquatico,watereierschaal,鱼儿蛋壳,魚兒蛋殼,サカナのたまごのから,물고기 달걀 껍질,скорлупа водяного яйца
1201,1.1.0,Bunny Day crown,Bunny Day crown,Häschentag-Krone,guirnalda Caza del Huevo,tiara Caza del Huevo,coiffe fête des œufs,coiffe fête des œufs,corona caccia all'uovo,eierkroon,复活节花冠,復活節花冠,イースターなかんむり,이스터 화관,корона на День зайцев
1202,1.1.0,egg party hat,egg party hat,Glücksei-Partyhut,sombrero de fiesta huevo,sombrero de fiesta huevo,chapeau festif œuf,chapeau festif œuf,cappello uova da sera,eierfeesthoed,蛋派对帽,蛋派對帽,たまごのパーティーハット,달걀 파티 모자,шляпка на День зайцев
1221,1.2.0,handmade crown,handmade crown,Bastelkrone,corona hecha a mano,corona hecha a mano,coiffe bricolée,coiffe bricolée,corona fatta a mano,knutselkroon,手工王冠,手作王冠,てづくりのおうかん,수제 왕관,самодельная корона
1222,1.2.0,summer-solstice crown,summer-solstice crown,Sommersonnenwendekrone,corona de girasoles,tiara de girasoles,coiffe solstice d'été,coiffe solstice d'été,corona solstizio d'estate,midzomerbloemenkroon,夏至花冠,夏至花冠,げしさいのはなかんむり,하지 화관,корона к Празднику лета
674,1.0.0,headkerchief,headkerchief,Wanderkopftuch,pañuelo anudado en la nariz,pañuelo anudado en la nariz,foulard vert,foulard vert,fazzoletto giapponese,hoofddoek,小偷头巾,小偷頭巾,ほっかむり,뒤집어쓴 보자기,платок
675,1.0.0,fairy-tale hood,fairy-tale hood,Märchenkapuze,caperuza de cuento,caperuza de cuento,chaperon féerique,capuche de petit chaperon,cappuccio fiabesco,sprookjeskapje,童话风头巾,童話風頭巾,メルヘンなずきん,메르헨 두건,сказочный капюшон
676,1.0.0,mummy mask,mummy mask,Mumienmaske,careta de momia,careta de momia,masque de momie,masque de momie,maschera da mummia,mummiemasker,木乃伊头套,木乃伊頭套,ミイラのかぶりもの,미라 마스크,маска мумии
677,1.0.0,bunny hood,bunny hood,Hasenkapuze,gorro de conejito,gorro de conejito,cagoule lapin,cagoule lapin,cappello da coniglio,konijnenmuts,兔子头套,兔子頭套,ウサギのかぶりもの,토끼 모자,шапка зайки
678,1.0.0,cat cap,cat cap,Katzenmütze,gorro de gato,gorro de gato,cagoule chat,cagoule chat,cappello da gatto,kattenmuts,猫头套,貓頭套,ネコのかぶりもの,고양이 모자,шапка кошки
679,1.0.0,ski mask,ski mask,Skimaske,pasamontañas,pasamontañas,cagoule,cagoule,passamontagna,bivakmuts,全罩式头套,全罩式頭套,めだしぼう,복면 마스크,лыжная маска
680,1.0.0,skeleton hood,skeleton hood,Skelettkapuze,capucha calavera,capucha calavera,masque de squelette,masque de squelette,copricapo scheletro,schedelmuts,骸骨头套,骸骨頭套,ガイコツのかぶりもの,해골 모자,шапка скелета
682,1.0.0,bear cap,bear cap,Bärenmütze,gorro de oso,gorro de oso,cagoule ours,cagoule ours,cappello da orso,berenmuts,熊头套,熊頭套,クマのかぶりもの,곰 모자,шапка медведя
683,1.0.0,kappa cap,kappa cap,Käpten-Mütze,gorro de kappa,gorro de kappa,cagoule kappa,cagoule kappa,cappello da tartaruga,kappa-muts,河童头套,河童頭頂,カッパのおさら,거북이 모자,шапка каппы
686,1.0.0,knight's helmet,knight's helmet,Ritterhelm,yelmo,yelmo,casque de chevalier,casque de chevalier,elmo medievale,ridderhelm,铁甲头盔,鐵甲面罩,アイアンアーマーヘルメット,아이언 아머 헬멧,рыцарский шлем
687,1.0.0,frog cap,frog cap,Froschmütze,gorro de rana,gorro de rana,cagoule grenouille,cagoule grenouille,cappello da rana,kikkermuts,青蛙头套,青蛙頭套,カエルのかぶりもの,개구리 모자,шапка лягушки
692,1.0.0,gold helmet,gold helmet,Goldhelm,yelmo dorado,yelmo dorado,casque en or,casque en or,elmo d'oro,gouden helm,金甲头盔,金頭盔,ゴールデンアーマーヘルメット,골든 아머 헬멧,золотой шлем
697,1.0.0,football helmet,football helmet,Football-Helm,casco de rugby,casco de rugby,casque de football,casque de football,casco da football,Americanfootballhelm,美式足球头盔,美式足球安全帽,アメフトヘルメット,럭비 헬멧,футбольный шлем
698,1.0.0,firefighter's hat,firefighter's hat,Feuerwehrhut,casco de bombero,casco de bombero,casque de pompier,casque de pompier,elmo da pompiere,brandweerhelm,消防员头盔,消防員帽子,しょうぼうしのぼうし,소방관 모자,шлем пожарного
699,1.0.0,welding mask,welding mask,Schweißmaske,máscara de soldar,máscara de soldar,masque de soudure,masque de soudure,maschera da saldatore,lasmasker,焊接面罩,焊接面罩,ようせつマスク,용접 마스크,шлем сварщика
702,1.0.0,samurai helmet,samurai helmet,Samuraihelm,casco de samurái,casco de samurái,casque de samouraï,casque de samouraï,elmo da samurai,samoeraihelm,头盔,頭盔,かぶと,일본 무사 투구,шлем самурая
704,1.0.0,milkmaid hat,milkmaid hat,Trachtenhaube,tocado holandés,tocado holandés,chapeau hollandais,chapeau hollandais,cuffia olandese,melkmeisjesmuts,荷兰帽子,荷蘭帽子,オランダのぼうし,네덜란드 모자,шапочка молочницы
706,1.0.0,pilot's cap,pilot's cap,Pilotenkappe,gorra de aviación,gorra de aviación,casque de pilote,casque de pilote,casco d'aviatore,pilotenmuts,飞行帽,飛行帽,ひこうぼう,비행 모자,шапка летчика
707,1.0.0,baby's hat,baby's hat,Babyhütchen,gorro de bebé,gorro de bebé,chapeau de bébé,chapeau de bébé,cuffietta,babymutsje,婴儿帽子,嬰兒帽子,あかちゃんのぼうし,아기 모자,чепчик младенца
708,1.0.0,ninja hood,ninja hood,Ninjakapuze,caperuza de ninja,caperuza de ninja,cagoule de ninja,cagoule de ninja,cappuccio ninja,ninjamasker,忍者头巾,忍者頭巾,にんじゃずきん,닌자 두건,капюшон ниндзя
709,1.0.0,batter's helmet,batter's helmet,Baseballhelm,casco de bateador,casco de bateador,casque de batteur,casque de batteur,elmetto da battitore,slagmanshelm,棒球头盔,棒球安全帽,やきゅうのヘルメット,야구 헬멧,шлем бейсболиста
711,1.0.0,wrestling mask,wrestling mask,Wrestlingmaske,máscara de lucha libre,máscara de lucha libre,masque de catch,masque de catch,maschera da wrestling,worstelaarsmasker,职业摔角面具,職業摔角面具,プロレスのマスク,프로 레슬링 마스크,маска рестлера
712,1.0.0,hot-dog hood,hot-dog hood,Hotdog-Kapuze,capucha salchicha,capucha salchicha,capuche saucisse,capuche saucisse,berretto hot dog,hotdogmuts,热狗头套,熱狗頭套,ホットドッグマスク,핫도그 마스크,шапка «Хот-дог»
713,1.0.0,knit cap with earflaps,knit cap with earflaps,Ohrenwärmer-Strickmütze,gorro de punto con orejeras,gorro tejido con orejas,bonnet cache-oreilles tricot,bonnet cache-oreilles tricot,cappello con paraorecchi,gebreide flapmuts,耳罩针织帽,耳罩針織帽,みみあてつきニット,귀마개 니트 모자,вязаная шапка с ушами
717,1.0.0,space helmet,space helmet,Astronautenhelm,casco espacial,casco espacial,casque spatial,casque spatial,casco spaziale,ruimtehelm,宇航员头盔,太空人安全帽,アストロヘルメット,아스트로 헬멧,шлем космонавта
718,1.0.0,paintball mask,paintball mask,Paintball-Maske,casco de paintball,casco de paintball,masque de paintball,masque de paintball,maschera da paintball,paintballmasker,漆弹面罩,漆彈面罩,ペイントボールマスク,페인트 볼 마스크,маска для пейнтбола
738,1.0.0,zap helmet,zap helmet,Superheldenhelm,supercasco,supercasco,casque de héros,casque de héros,casco da eroe,superhelm,英雄头盔,英雄安全帽,ヒーローヘルメット,히어로 헬멧,шлем супергероя
741,1.0.0,turban,turban,Turban,turbante,turbante,turban,turban,turbante,tulband,特本头巾,特本頭巾,ターバン,터번,тюрбан
742,1.0.0,helmet with goggles,helmet with goggles,Skibrillenhelm,casco motocicleta clásico,casco motocicleta clásico,casque avec lunettes,casque avec lunettes,casco con occhiali,helm met beschermbril,带护目镜头盔,護目鏡安全帽,ゴーグルつきヘルメット,고글 헬멧,шлем с очками
748,1.0.0,racing helmet,racing helmet,Rennfahrerhelm,casco de carreras,casco de carreras,casque de course,casque de course,casco da pilota,coureurshelm,全罩式头盔,全罩式安全帽,フルフェイスメット,풀페이스 헬멧,шлем гонщика
758,1.0.0,imp hood,imp hood,Kobold-Mütze,gorro de diablo,gorro de diablo,capuche de diablotin,capuche de diablotin,copricapo con corna,duveltjesmuts,恶魔头套,魔鬼頭套,デビルなかぶりもの,악마 모자,шапка чертика
759,1.0.0,sheep hood,sheep hood,Schafkapuze,gorro de carnero,gorro de carnero,capuche de bélier,capuche de bélier,cappello da montone,schapenmuts,绵羊头套,綿羊頭套,ひつじのかぶりもの,양 모자,шапка барана
822,1.0.0,veiled gardening hat,veiled gardening hat,Schleier-Gärtnerhut,gorra para agricultura,gorra para agricultura,chapeau agricole,chapeau agricole,cappello con veletta,tuinierpet,农作遮阳帽,農作遮陽帽,のうぎょうぼう,농부 모자,дачная шапка
825,1.0.0,headgear,headgear,Boxerhelm,protector de cabeza,protector de cabeza,casque de boxe,casque de boxe,casco,hoofdbeschermer,拳击头套,拳擊頭套,ヘッドギア,헤드기어,парик боксера со шлемом
826,1.0.0,mohawk wig,mohawk wig,Irokesenperücke,cresta mohicana,cresta mohicana,perruque iroquoise,perruque en crête,parrucca da moicano,hanenkampruik,朋克头,龐克頭,モヒカン,모히칸,парик-ирокез
827,1.0.0,pompadour wig,pompadour wig,Schmalztollenperücke,tupé rockabilly,tupé rockabilly,perruque banane,perruque banane,parrucca da principe,vetkuifpruik,飞机头,飛機頭,リーゼント,리젠트,парик регента
828,1.0.0,samurai wig,samurai wig,Samuraiperücke,peluca de samurái,peluca de samurái,coiffe de samouraï,coiffe de samouraï,parrucca da samurai,samoeraipruik,武士头,武士頭,ちょんまげ,일본식 상투,парик самурая
829,1.0.0,matronly bun,matronly bun,Großmutterperücke,peluca señora mayor,peluca señora mayor,perruque de matrone,perruque de matrone,parrucca da matrona,omaknotpruik,丸子头,洋蔥頭,たまねぎヘアー,양파 머리,парик-кичка
830,1.2.0,bridal veil,bridal veil,Brautschleier,velo de novia,velo de novia,voile de mariée,voile de mariée,velo da sposa,bruidssluier,纯白头纱,純白頭紗,じゅんぱくのヴェール,순백 베일,парик с фатой
831,1.0.0,bun wig,bun wig,Doppel-Dutt,moño,velo de novia,perruque beignet,voile de mariée,parrucca con chignon,knotjespruik,双丸子头,丸子頭,おだんごあたま,양갈래 머리,парик с чепцами
832,1.0.0,DJ cap,DJ cap,DJ-Kappe,gorra de DJ,gorra de DJ,casque de DJ,casque de DJ,cappello con cuffie,dj-pet,头戴式耳机,頭戴式耳機,ヘッドホン,헤드폰,кепка диджея
833,1.0.0,gothic headdress,gothic headdress,Gothic-Kopfputz,peluca con tocado,peluca con tocado,chevelure gothique,chevelure gothique,copricapo gotico,victoriaanse haarband,头饰,頭飾,ヘッドドレス,헤드드레스,парик с аксессуаром
834,1.0.0,veil,veil,1001-Nacht-Schleier,velo princesa desierto,velo princesa desierto,voile princesse du désert,voile princesse du désert,velo da mille e una notte,woestijnprinsessensluier,面纱,面紗,ベール,베일,парик с вуалью
836,1.0.0,geisha wig,geisha wig,Geishaperücke,peluca de geisha,peluca de geisha,coiffe de geisha,coiffe de geisha,parrucca da geisha,geishapruik,艺伎假发,藝妓假髮,ゲイシャさん,게이샤 머리,парик гейши
837,1.0.0,composer's wig,composer's wig,Komponistenperücke,pelucón,pelucón,perruque de compositeur,perruque de compositeur,parrucca da musicista,componistenpruik,音乐家假发,音樂家假髮,おんがくかのかつら,음악가 가발,парик композитора
838,1.0.0,power helmet,power helmet,Power-Helm,casco de energía,casco de energía,casque de puissance,casque de puissance,casco da tuta potenziata,superkrachthelm,动力头盔,動力頭盔,パワードメット,파워 헬멧,силовой шлем
900,1.0.0,paper bag,paper bag,Papiertüte,bolsa de papel,bolsa de papel,sac en papier,sac en papier,sacchetto di carta,papieren zak,纸袋,紙袋,かみぶくろ,종이 봉투,бумажный пакет
917,1.0.0,fox mask,fox mask,Fuchsmaske,máscara de zorro,máscara de zorro,masque de renard,masque de renard,maschera da volpe,vossenmasker,狐狸面具,狐狸面具,キツネのおめん,여우 가면,маска лисы
918,1.0.0,elder mask,elder mask,Greisenmaske,máscara de sabio,máscara de sabio,masque de sage,masque de sage,maschera da saggio,ouderenmasker,老翁能面具,老翁能面具,おきなののうめん,동양 전통 가면,маска старика
919,1.0.0,Noh mask,Noh mask,No-Maske,máscara de teatro Noh,máscara de teatro Noh,masque de nô,masque de nô,maschera da teatro nō,no-masker,能面具,能面具,のうめん,일본 전통 가면,маска театра «но»
923,1.0.0,hockey mask,hockey mask,Hockeymaske,máscara de hockey,máscara de hockey,masque de hockey,masque de hockey,maschera da hockey,ijshockeymasker,曲棍球面罩,曲棍球面罩,ホッケーのマスク,하키 마스크,хоккейная маска
931,1.0.0,catcher's mask,catcher's mask,Baseballmaske,máscara de béisbol,máscara de béisbol,masque de receveur,masque de receveur,maschera da ricevitore,achtervangershelm,捕手面罩,捕手面罩,キャッチャーマスク,포수 마스크,маска бейсболиста
933,1.0.0,kaffiyeh,kaffiyeh,Kufija,pañuelo árabe,pañuelo árabe,keffieh,keffieh,kefiah,keffiyeh,阿拉伯帽子,阿拉伯帽子,アラビアのぼうし,아라비아 모자,куфия
934,1.0.0,stagehand hat,stagehand hat,Kabuki-Hut,velo de tramoyista,gorro con velo,chapeau machiniste,chapeau machiniste,cappuccio in garza nera,kuroko-muts,黑子头巾,黑子頭巾,くろこ,검은 복면,шапка сценрабочего
956,1.0.0,leaf mask,leaf mask,Blatt-Maske,máscara hoja,máscara hoja,masque feuille,masque feuille,maschera a foglia,bladmasker,叶子面具,葉子面具,はっぱのおめん,나뭇잎 가면,маска-лист
1008,1.0.0,tiara hair,tiara hair,Diadem-Perücke,diadema de princesa,diadema de princesa,diadème,diadème,diadema,tiarapruik,公主假发,公主假髮,おひめさま,공주님 머리,парик с диадемой
1009,1.0.0,headband,headband,Haarband,cinta para el pelo,cinta para el cabello,bandeau,bandeau,fascia,haarbandpruik,发带,髮帶,ヘアターバン,헤어밴드,парик с ленточкой
1010,1.0.0,coin headpiece,coin headpiece,Münzen-Stirnband,gorra de monedas,gorra de monedas,parure de sultane,parure de sultane,copricapo con monete,muntenpruik,金币头饰,金幣頭飾,コインヘッドピース,코인 헤드피스,парик с монетками
1011,1.0.0,pigtail,pigtail,Khan-Perücke,coleta mongola,cola de caballo,natte,natte,codino cinese,paardenstaart,小辫子,小辮子,べんぱつ,변발,парик-косичка
1012,1.0.0,visual-punk wig,visual-punk wig,Visual-Kei-Perücke,peluca punk,peluca punk,perruque visual kei,perruque visual kei,parrucca visual kei,Japanse punkpruik,视觉系假发,視覺系假髮,ヴィジュアルけいウィッグ,록 밴드 스타일 가발,панковский парик
1040,1.0.0,snowperson head,snowperson head,Schneemannhut,casco de Copito,casco de Copito,cagoule neige,cagoule neige,testa da pupazzo di neve,sneeuwpopkop,雪人头套,雪人帽子,ゆきだるまのぼうし,눈사람 모자,шапка снеговика
1113,1.0.0,star head,star head,Sternenkapuze,casco estrella,casco estrella,cagoule étoile,cagoule étoile,cappuccio stella,sterrenkop,星星头套,星星頭套,おほしさまのあたま,별님 머리,звездный шлем
